the_master_key_01_f000001|The Master Key.|The Master Key.
the_master_key_01_f000018|Not only had every outside door its electric bell, but every window was fitted with a burglar alarm; moreover no one could cross the threshold of any interior room without registering the fact in Rob's workshop.|Not only had every outside door its electric bell, but every window was fitted with a burglar alarm; moreover no one could cross the threshold of any interior room without registering the fact in Rob's workshop.
the_master_key_01_f000019|The gas was lighted by an electric fob; a chime, connected with an erratic clock in the boy's room, woke the servants at all hours of the night and caused the cook to give warning; a bell rang whenever the postman dropped a letter into the box;|The gas was lighted by an electric fob; a chime, connected with an erratic clock in the boy's room, woke the servants at all hours of the night and caused the cook to give warning; a bell rang whenever the postman dropped a letter into the box;
the_master_key_01_f000020|there were bells, bells, bells everywhere, ringing at the right time, the wrong time and all the time.|there were bells, bells, bells everywhere, ringing at the right time, the wrong time and all the time.
the_master_key_01_f000021|And there were telephones in the different rooms, too, through which Rob could call up the different members of the family just when they did not wish to be disturbed.|And there were telephones in the different rooms, too, through which Rob could call up the different members of the family just when they did not wish to be disturbed.
the_master_key_01_f000022|His mother and sisters soon came to vote the boy's scientific craze a nuisance; but his father was delighted with these evidences of Rob's skill as an electrician, and insisted that he be allowed perfect freedom in carrying out his ideas.|His mother and sisters soon came to vote the boy's scientific craze a nuisance; but his father was delighted with these evidences of Rob's skill as an electrician, and insisted that he be allowed perfect freedom in carrying out his ideas.
the_master_key_01_f000023|Electricity, said the old gentleman, sagely, is destined to become the motive power of the world.|Electricity, said the old gentleman, sagely, is destined to become the motive power of the world.
the_master_key_01_f000024|The future advance of civilization will be along electrical lines.|The future advance of civilization will be along electrical lines.
the_master_key_01_f000025|Our boy may become a great inventor and astonish the world with his wonderful creations.|Our boy may become a great inventor and astonish the world with his wonderful creations.
the_master_key_01_f000026|And in the meantime, said the mother, despairingly, we shall all be electrocuted, or the house burned down by crossed wires, or we shall be blown into eternity by an explosion of chemicals!|And in the meantime, said the mother, despairingly, we shall all be electrocuted, or the house burned down by crossed wires, or we shall be blown into eternity by an explosion of chemicals!
the_master_key_01_f000027|Nonsense! ejaculated the proud father.|Nonsense! ejaculated the proud father.
the_master_key_01_f000028|Rob's storage batteries are not powerful enough to electrocute one or set the house on fire.|Rob's storage batteries are not powerful enough to electrocute one or set the house on fire.
the_master_key_01_f000029|Do give the boy a chance, Belinda.|Do give the boy a chance, Belinda.
the_master_key_01_f000030|And the pranks are so humiliating, continued the lady.|And the pranks are so humiliating, continued the lady.
the_master_key_01_f000031|When the minister called yesterday and rang the bell a big card appeared on the front door on which was printed the words: 'Busy; Call Again.'|When the minister called yesterday and rang the bell a big card appeared on the front door on which was printed the words: 'Busy; Call Again.'
the_master_key_01_f000032|Fortunately Helen saw him and let him in, but when I reproved Robert for the act he said he was just trying the sign to see if it would work.|Fortunately Helen saw him and let him in, but when I reproved Robert for the act he said he was just trying the sign to see if it would work.
the_master_key_01_f000033|Exactly!|Exactly!
the_master_key_01_f000034|The boy is an inventor already.|The boy is an inventor already.
the_master_key_01_f000035|I shall have one of those cards attached to the door of my private office at once.|I shall have one of those cards attached to the door of my private office at once.
the_master_key_01_f000036|I tell you, Belinda, our son will be a great man one of these days, said Mr. Joslyn, walking up and down with pompous strides and almost bursting with the pride he took in his young hopeful.|I tell you, Belinda, our son will be a great man one of these days, said Mr. Joslyn, walking up and down with pompous strides and almost bursting with the pride he took in his young hopeful.
the_master_key_01_f000037|Mrs. Joslyn sighed.|Mrs. Joslyn sighed.
the_master_key_01_f000038|She knew remonstrance was useless so long as her husband encouraged the boy, and that she would be wise to bear her cross with fortitude.|She knew remonstrance was useless so long as her husband encouraged the boy, and that she would be wise to bear her cross with fortitude.
the_master_key_01_f000039|Rob also knew his mother's protests would be of no avail; so he continued to revel in electrical processes of all sorts, using the house as an experimental station to test the powers of his productions.|Rob also knew his mother's protests would be of no avail; so he continued to revel in electrical processes of all sorts, using the house as an experimental station to test the powers of his productions.
the_master_key_01_f000040|It was in his own room, however,-his workshop -that he especially delighted.|It was in his own room, however,-his workshop -that he especially delighted.
the_master_key_01_f000041|For not only was it the center of all his numerous lines throughout the house, but he had rigged up therein a wonderful array of devices for his own amusement.|For not only was it the center of all his numerous lines throughout the house, but he had rigged up therein a wonderful array of devices for his own amusement.
the_master_key_01_f000042|A trolley-car moved around a circular track and stopped regularly at all stations; an engine and train of cars moved jerkily up and down a steep grade and through a tunnel; a windmill was busily pumping water from the dishpan into the copper skillet;|A trolley-car moved around a circular track and stopped regularly at all stations; an engine and train of cars moved jerkily up and down a steep grade and through a tunnel; a windmill was busily pumping water from the dishpan into the copper skillet;
the_master_key_01_f000043|a sawmill was in full operation and a host of mechanical blacksmiths, scissors-grinders, carpenters, wood-choppers and millers were connected with a motor which kept them working away at their trades in awkward but persevering fashion.|a sawmill was in full operation and a host of mechanical blacksmiths, scissors-grinders, carpenters, wood-choppers and millers were connected with a motor which kept them working away at their trades in awkward but persevering fashion.
the_master_key_01_f000044|The room was crossed and recrossed with wires.|The room was crossed and recrossed with wires.
the_master_key_01_f000045|They crept up the walls, lined the floor, made a grille of the ceiling and would catch an unwary visitor under the chin or above the ankle just when he least expected it.|They crept up the walls, lined the floor, made a grille of the ceiling and would catch an unwary visitor under the chin or above the ankle just when he least expected it.
the_master_key_01_f000046|Yet visitors were forbidden in so crowded a room, and even his father declined to go farther than the doorway.|Yet visitors were forbidden in so crowded a room, and even his father declined to go farther than the doorway.
the_master_key_01_f000047|As for Rob, he thought he knew all about the wires, and what each one was for; but they puzzled even him, at times, and he was often perplexed to know how to utilize them all.|As for Rob, he thought he knew all about the wires, and what each one was for; but they puzzled even him, at times, and he was often perplexed to know how to utilize them all.
the_master_key_01_f000048|One day when he had locked himself in to avoid interruption while he planned the electrical illumination of a gorgeous pasteboard palace, he really became confused over the network of wires.|One day when he had locked himself in to avoid interruption while he planned the electrical illumination of a gorgeous pasteboard palace, he really became confused over the network of wires.
the_master_key_01_f000049|He had a switchboard, to be sure, where he could make and break connections as he chose; but the wires had somehow become mixed, and he could not tell what combinations to use to throw the power on to his miniature electric lights.|He had a switchboard, to be sure, where he could make and break connections as he chose; but the wires had somehow become mixed, and he could not tell what combinations to use to throw the power on to his miniature electric lights.
the_master_key_01_f000050|So he experimented in a rather haphazard fashion, connecting this and that wire blindly and by guesswork, in the hope that he would strike the right combination.|So he experimented in a rather haphazard fashion, connecting this and that wire blindly and by guesswork, in the hope that he would strike the right combination.
the_master_key_01_f000051|Then he thought the combination might be right and there was a lack of power; so he added other lines of wire to his connections, and still others, until he had employed almost every wire in the room.|Then he thought the combination might be right and there was a lack of power; so he added other lines of wire to his connections, and still others, until he had employed almost every wire in the room.
the_master_key_01_f000052|Yet it would not work; and after pausing a moment to try to think what was wrong he went at it again, putting this and that line into connection, adding another here and another there, until suddenly, as he made a last change,|Yet it would not work; and after pausing a moment to try to think what was wrong he went at it again, putting this and that line into connection, adding another here and another there, until suddenly, as he made a last change,
the_master_key_01_f000053|a quick flash of light almost blinded him, and the switch-board crackled ominously, as if struggling to carry a powerful current.|a quick flash of light almost blinded him, and the switch-board crackled ominously, as if struggling to carry a powerful current.
the_master_key_01_f000054|Rob covered his face at the flash, but finding himself unhurt he took away his hands and with blinking eyes attempted to look at a wonderful radiance which seemed to fill the room, making it many times brighter than the brightest day.|Rob covered his face at the flash, but finding himself unhurt he took away his hands and with blinking eyes attempted to look at a wonderful radiance which seemed to fill the room, making it many times brighter than the brightest day.
the_master_key_01_f000055|Although at first completely dazzled, he peered before him until he discovered that the light was concentrated near one spot, from which all the glorious rays seemed to scintillate.|Although at first completely dazzled, he peered before him until he discovered that the light was concentrated near one spot, from which all the glorious rays seemed to scintillate.
the_master_key_01_f000056|He closed his eyes a moment to rest them; then re-opening them and shading them somewhat with his hands, he made out the form of a curious Being standing with majesty and composure in the center of the magnificent radiance and looking down upon him!|He closed his eyes a moment to rest them; then re-opening them and shading them somewhat with his hands, he made out the form of a curious Being standing with majesty and composure in the center of the magnificent radiance and looking down upon him!
the_master_key_02_f000001|Chapter 2.|Chapter two.
the_master_key_02_f000002|The Demon of Electricity.|The Demon of Electricity.
the_master_key_02_f000003|Rob was a courageous boy, but a thrill of fear passed over him in spite of his bravest endeavor as he gazed upon the wondrous apparition that confronted him.|Rob was a courageous boy, but a thrill of fear passed over him in spite of his bravest endeavor as he gazed upon the wondrous apparition that confronted him.
the_master_key_02_f000004|For several moments he sat as if turned to stone, so motionless was he; but his eyes were nevertheless fastened upon the Being and devouring every detail of his appearance.|For several moments he sat as if turned to stone, so motionless was he; but his eyes were nevertheless fastened upon the Being and devouring every detail of his appearance.
the_master_key_02_f000005|And how strange an appearance he presented!|And how strange an appearance he presented!
the_master_key_02_f000006|His jacket was a wavering mass of white light, edged with braid of red flames that shot little tongues in all directions.|His jacket was a wavering mass of white light, edged with braid of red flames that shot little tongues in all directions.
the_master_key_02_f000007|The buttons blazed in golden fire.|The buttons blazed in golden fire.
the_master_key_02_f000008|His trousers had a bluish, incandescent color, with glowing stripes of crimson braid.|His trousers had a bluish, incandescent color, with glowing stripes of crimson braid.
the_master_key_02_f000009|His vest was gorgeous with all the colors of the rainbow blended into a flashing, resplendent mass.|His vest was gorgeous with all the colors of the rainbow blended into a flashing, resplendent mass.
the_master_key_02_f000010|In feature he was most majestic, and his eyes held the soft but penetrating brilliance of electric lights.|In feature he was most majestic, and his eyes held the soft but penetrating brilliance of electric lights.
the_master_key_02_f000011|It was hard to meet the gaze of those searching eyes, but Rob did it, and at once the splendid apparition bowed and said in a low, clear voice: I am here.|It was hard to meet the gaze of those searching eyes, but Rob did it, and at once the splendid apparition bowed and said in a low, clear voice: I am here.
the_master_key_02_f000012|I know that, answered the boy, trembling, but WHY are you here?|I know that, answered the boy, trembling, but WHY are you here?
the_master_key_02_f000013|Because you have touched the Master Key of Electricity, and I must obey the laws of nature that compel me to respond to your summons.|Because you have touched the Master Key of Electricity, and I must obey the laws of nature that compel me to respond to your summons.
the_master_key_02_f000014|I-I didn't know I touched the Master Key, faltered the boy.|I-I didn't know I touched the Master Key, faltered the boy.
the_master_key_02_f000015|I understand that.|I understand that.
the_master_key_02_f000016|You did it unconsciously.|You did it unconsciously.
the_master_key_02_f000017|No one in the world has ever done it before, for Nature has hitherto kept the secret safe locked within her bosom.|No one in the world has ever done it before, for Nature has hitherto kept the secret safe locked within her bosom.
the_master_key_02_f000018|Rob took time to wonder at this statement.|Rob took time to wonder at this statement.
the_master_key_02_f000019|Then who are you? he inquired, at length.|Then who are you? he inquired, at length.
the_master_key_02_f000020|The Demon of Electricity, was the solemn answer.|The Demon of Electricity, was the solemn answer.
the_master_key_02_f000021|Good gracious! exclaimed Rob, a demon!|Good gracious! exclaimed Rob, a demon!
the_master_key_02_f000022|Certainly.|Certainly.
the_master_key_02_f000023|I am, in truth, the Slave of the Master Key, and am forced to obey the commands of any one who is wise and brave enough-or, as in your own case, fortunate and fool-hardy enough-to touch it.|I am, in truth, the Slave of the Master Key, and am forced to obey the commands of any one who is wise and brave enough-or, as in your own case, fortunate and fool-hardy enough-to touch it.
the_master_key_02_f000024|I-I've never guessed there was such a thing as a Master Key, or-or a Demon of Electricity, and-and I'm awfully sorry I-I called you up!|I-I've never guessed there was such a thing as a Master Key, or-or a Demon of Electricity, and-and I'm awfully sorry I-I called you up!
the_master_key_02_f000025|stammered the boy, abashed by the imposing appearance of his companion.|stammered the boy, abashed by the imposing appearance of his companion.
the_master_key_02_f000026|The Demon actually smiled at this speech,-a smile that was almost reassuring.|The Demon actually smiled at this speech,-a smile that was almost reassuring.
the_master_key_02_f000027|I am not sorry, he said, in kindlier tone, for it is not much pleasure waiting century after century for some one to command my services.|I am not sorry, he said, in kindlier tone, for it is not much pleasure waiting century after century for some one to command my services.
the_master_key_02_f000028|I have often thought my existence uncalled for, since you Earth people are so stupid and ignorant that you seem unlikely ever to master the secret of electrical power.|I have often thought my existence uncalled for, since you Earth people are so stupid and ignorant that you seem unlikely ever to master the secret of electrical power.
the_master_key_02_f000029|Oh, we have some great masters among us!|Oh, we have some great masters among us!
the_master_key_02_f000030|cried Rob, rather nettled at this statement.|cried Rob, rather nettled at this statement.
the_master_key_02_f000031|Now, there's Edison- Edison!|Now, there's Edison- Edison!
the_master_key_02_f000032|exclaimed the Demon, with a faint sneer; what does he know?|exclaimed the Demon, with a faint sneer; what does he know?
the_master_key_02_f000033|Lots of things, declared the boy.|Lots of things, declared the boy.
the_master_key_02_f000034|He's invented no end of wonderful electrical things.|He's invented no end of wonderful electrical things.
the_master_key_02_f000035|You are wrong to call them wonderful, replied the Demon, lightly.|You are wrong to call them wonderful, replied the Demon, lightly.
the_master_key_02_f000036|He really knows little more than yourself about the laws that control electricity.|He really knows little more than yourself about the laws that control electricity.
the_master_key_02_f000037|His inventions are trifling things in comparison with the really wonderful results to be obtained by one who would actually know how to direct the electric powers instead of groping blindly after insignificant effects.|His inventions are trifling things in comparison with the really wonderful results to be obtained by one who would actually know how to direct the electric powers instead of groping blindly after insignificant effects.
the_master_key_02_f000038|Why, I've stood for months by Edison's elbow, hoping and longing for him to touch the Master Key; but I can see plainly he will never accomplish it.|Why, I've stood for months by Edison's elbow, hoping and longing for him to touch the Master Key; but I can see plainly he will never accomplish it.
the_master_key_02_f000039|Then there's Tesla, said the boy.|Then there's Tesla, said the boy.
the_master_key_02_f000040|The Demon laughed.|The Demon laughed.
the_master_key_02_f000041|There is Tesla, to be sure, he said.|There is Tesla, to be sure, he said.
the_master_key_02_f000042|But what of him?|But what of him?
the_master_key_02_f000043|Why, he's discovered a powerful light, the Demon gave an amused chuckle, and he's in communication with the people in Mars.|Why, he's discovered a powerful light, the Demon gave an amused chuckle, and he's in communication with the people in Mars.
the_master_key_02_f000044|What people?|What people?
the_master_key_02_f000045|Why, the people who live there.|Why, the people who live there.
the_master_key_02_f000046|There are none.|There are none.
the_master_key_02_f000047|This great statement almost took Rob's breath away, and caused him to stare hard at his visitor.|This great statement almost took Rob's breath away, and caused him to stare hard at his visitor.
the_master_key_02_f000048|It's generally thought, he resumed, in an annoyed tone, that Mars has inhabitants who are far in advance of ourselves in civilization.|It's generally thought, he resumed, in an annoyed tone, that Mars has inhabitants who are far in advance of ourselves in civilization.
the_master_key_02_f000049|Many scientific men think the people of Mars have been trying to signal us for years, only we don't understand their signals.|Many scientific men think the people of Mars have been trying to signal us for years, only we don't understand their signals.
the_master_key_02_f000050|And great novelists have written about the Martians and their wonderful civilization, and- And they all know as much about that little planet as you do yourself, interrupted the Demon, impatiently.|And great novelists have written about the Martians and their wonderful civilization, and- And they all know as much about that little planet as you do yourself, interrupted the Demon, impatiently.
the_master_key_02_f000051|The trouble with you Earth people is that you delight in guessing about what you can not know.|The trouble with you Earth people is that you delight in guessing about what you can not know.
the_master_key_02_f000052|Now I happen to know all about Mars, because I can traverse all space and have had ample leisure to investigate the different planets.|Now I happen to know all about Mars, because I can traverse all space and have had ample leisure to investigate the different planets.
the_master_key_02_f000053|Mars is not peopled at all, nor is any other of the planets you recognize in the heavens.|Mars is not peopled at all, nor is any other of the planets you recognize in the heavens.
the_master_key_02_f000054|Some contain low orders of beasts, to be sure, but Earth alone has an intelligent, thinking, reasoning population,|Some contain low orders of beasts, to be sure, but Earth alone has an intelligent, thinking, reasoning population,
the_master_key_02_f000055|and your scientists and novelists would do better trying to comprehend their own planet than in groping through space to unravel the mysteries of barren and unimportant worlds.|and your scientists and novelists would do better trying to comprehend their own planet than in groping through space to unravel the mysteries of barren and unimportant worlds.
the_master_key_02_f000056|Rob listened to this with surprise and disappointment; but he reflected that the Demon ought to know what he was talking about, so he did not venture to contradict him.|Rob listened to this with surprise and disappointment; but he reflected that the Demon ought to know what he was talking about, so he did not venture to contradict him.
the_master_key_02_f000057|It is really astonishing, continued the Apparition, how little you people have learned about electricity.|It is really astonishing, continued the Apparition, how little you people have learned about electricity.
the_master_key_02_f000058|It is an Earth element that has existed since the Earth itself was formed, and if you but understood its proper use humanity would be marvelously benefited in many ways.|It is an Earth element that has existed since the Earth itself was formed, and if you but understood its proper use humanity would be marvelously benefited in many ways.
the_master_key_02_f000059|We are, already, protested Rob; our discoveries in electricity have enabled us to live much more conveniently.|We are, already, protested Rob; our discoveries in electricity have enabled us to live much more conveniently.
the_master_key_02_f000060|Then imagine your condition were you able fully to control this great element, replied the other, gravely.|Then imagine your condition were you able fully to control this great element, replied the other, gravely.
the_master_key_02_f000061|The weaknesses and privations of mankind would be converted into power and luxury.|The weaknesses and privations of mankind would be converted into power and luxury.
the_master_key_02_f000062|That's true, Mr.-Mr.-Demon, said the boy.|That's true, Mr.-Mr.-Demon, said the boy.
the_master_key_02_f000063|Excuse me if I don't get your name right, but I understood you to say you are a demon.|Excuse me if I don't get your name right, but I understood you to say you are a demon.
the_master_key_02_f000064|Certainly.|Certainly.
the_master_key_02_f000065|The Demon of Electricity.|The Demon of Electricity.
the_master_key_02_f000066|But electricity is a good thing, you know, and-and- Well?|But electricity is a good thing, you know, and-and- Well?
the_master_key_02_f000067|I've always understood that demons were bad things, added Rob, boldly.|I've always understood that demons were bad things, added Rob, boldly.
the_master_key_02_f000068|Not necessarily, returned his visitor.|Not necessarily, returned his visitor.
the_master_key_02_f000069|If you will take the trouble to consult your dictionary, you will find that demons may be either good or bad, like any other class of beings.|If you will take the trouble to consult your dictionary, you will find that demons may be either good or bad, like any other class of beings.
the_master_key_02_f000070|Originally all demons were good, yet of late years people have come to consider all demons evil.|Originally all demons were good, yet of late years people have come to consider all demons evil.
the_master_key_02_f000071|I do not know why.|I do not know why.
the_master_key_02_f000072|Should you read Hesiod you will find he says: 'Soon was a world of holy demons made, Aerial spirits, by great Jove designed To be on earth the guardians of mankind.'|Should you read Hesiod you will find he says: 'Soon was a world of holy demons made, Aerial spirits, by great Jove designed To be on earth the guardians of mankind.'
the_master_key_02_f000073|But Jove was himself a myth, objected Rob, who had been studying mythology.|But Jove was himself a myth, objected Rob, who had been studying mythology.
the_master_key_02_f000074|The Demon shrugged his shoulders.|The Demon shrugged his shoulders.
the_master_key_02_f000075|Then take the words of Mr. Shakespeare, to whom you all defer, he replied.|Then take the words of Mr. Shakespeare, to whom you all defer, he replied.
the_master_key_02_f000076|Do you not remember that he says: 'Thy demon (that's thy spirit which keeps thee) is Noble, courageous, high, unmatchable.'|Do you not remember that he says: 'Thy demon that's thy spirit which keeps thee is Noble, courageous, high, unmatchable.'
the_master_key_02_f000077|Oh, if Shakespeare says it, that's all right, answered the boy.|Oh, if Shakespeare says it, that's all right, answered the boy.
the_master_key_02_f000078|But it seems you're more like a genius, for you answer the summons of the Master Key of Electricity in the same way Aladdin's genius answered the rubbing of the lamp.|But it seems you're more like a genius, for you answer the summons of the Master Key of Electricity in the same way Aladdin's genius answered the rubbing of the lamp.
the_master_key_02_f000079|To be sure.|To be sure.
the_master_key_02_f000080|A demon is also a genius; and a genius is a demon, said the Being.|A demon is also a genius; and a genius is a demon, said the Being.
the_master_key_02_f000081|What matters a name?|What matters a name?
the_master_key_02_f000082|I am here to do your bidding.|I am here to do your bidding.
the_master_key_03_f000001|Chapter 3.|Chapter three.
the_master_key_03_f000002|The Three Gifts.|The Three Gifts.
the_master_key_03_f000003|Familiarity with any great thing removes our awe of it.|Familiarity with any great thing removes our awe of it.
the_master_key_03_f000004|The great general is only terrible to the enemy; the great poet is frequently scolded by his wife; the children of the great statesman clamber about his knees with perfect trust and impunity;|The great general is only terrible to the enemy; the great poet is frequently scolded by his wife; the children of the great statesman clamber about his knees with perfect trust and impunity;
the_master_key_03_f000005|the great actor who is called before the curtain by admiring audiences is often waylaid at the stage door by his creditors.|the great actor who is called before the curtain by admiring audiences is often waylaid at the stage door by his creditors.
the_master_key_03_f000006|So Rob, having conversed for a time with the glorious Demon of Electricity, began to regard him with more composure and less awe, as his eyes grew more and more accustomed to the splendor that at first had well-nigh blinded them.|So Rob, having conversed for a time with the glorious Demon of Electricity, began to regard him with more composure and less awe, as his eyes grew more and more accustomed to the splendor that at first had well-nigh blinded them.
the_master_key_03_f000007|When the Demon announced himself ready to do the boy's bidding, he frankly replied: I am no skilled electrician, as you very well know.|When the Demon announced himself ready to do the boy's bidding, he frankly replied: I am no skilled electrician, as you very well know.
the_master_key_03_f000008|My calling you here was an accident.|My calling you here was an accident.
the_master_key_03_f000009|So I don't know how to command you, nor what to ask you to do.|So I don't know how to command you, nor what to ask you to do.
the_master_key_03_f000010|But I must not take advantage of your ignorance, answered the Demon.|But I must not take advantage of your ignorance, answered the Demon.
the_master_key_03_f000011|Also, I am quite anxious to utilize this opportunity to show the world what a powerful element electricity really is.|Also, I am quite anxious to utilize this opportunity to show the world what a powerful element electricity really is.
the_master_key_03_f000012|So permit me to inform you that, having struck the Master Key, you are at liberty to demand from me three gifts each week for three successive weeks.|So permit me to inform you that, having struck the Master Key, you are at liberty to demand from me three gifts each week for three successive weeks.
the_master_key_03_f000013|These gifts, provided they are within the scope of electricity, I will grant.|These gifts, provided they are within the scope of electricity, I will grant.
the_master_key_03_f000014|Rob shook his head regretfully.|Rob shook his head regretfully.
the_master_key_03_f000015|If I were a great electrician I should know what to ask, he said.|If I were a great electrician I should know what to ask, he said.
the_master_key_03_f000016|But I am too ignorant to take advantage of your kind offer.|But I am too ignorant to take advantage of your kind offer.
the_master_key_03_f000017|Then, replied the Demon, I will myself suggest the gifts,|Then, replied the Demon, I will myself suggest the gifts,
the_master_key_03_f000018|and they will be of such a character that the Earth people will learn the possibilities that lie before them and be encouraged to work more intelligently and to persevere in mastering those natural and simple laws which control electricity.|and they will be of such a character that the Earth people will learn the possibilities that lie before them and be encouraged to work more intelligently and to persevere in mastering those natural and simple laws which control electricity.
the_master_key_03_f000019|For one of the greatest errors they now labor under is that electricity is complicated and hard to understand.|For one of the greatest errors they now labor under is that electricity is complicated and hard to understand.
the_master_key_03_f000020|It is really the simplest Earth element, lying within easy reach of any one who stretches out his hand to grasp and control its powers.|It is really the simplest Earth element, lying within easy reach of any one who stretches out his hand to grasp and control its powers.
the_master_key_03_f000021|Rob yawned, for he thought the Demon's speeches were growing rather tiresome.|Rob yawned, for he thought the Demon's speeches were growing rather tiresome.
the_master_key_03_f000022|Perhaps the genius noticed this rudeness, for he continued: I regret, of course, that you are a boy instead of a grown man,|Perhaps the genius noticed this rudeness, for he continued: I regret, of course, that you are a boy instead of a grown man,
the_master_key_03_f000023|for it will appear singular to your friends that so thoughtless a youth should seemingly have mastered the secrets that have baffled your most learned scientists.|for it will appear singular to your friends that so thoughtless a youth should seemingly have mastered the secrets that have baffled your most learned scientists.
the_master_key_03_f000024|But that can not be helped, and presently you will become, through my aid, the most powerful and wonderful personage in all the world.|But that can not be helped, and presently you will become, through my aid, the most powerful and wonderful personage in all the world.
the_master_key_03_f000025|Thank you, said Rob, meekly.|Thank you, said Rob, meekly.
the_master_key_03_f000026|It'll be no end of fun.|It'll be no end of fun.
the_master_key_03_f000027|Fun! echoed the Demon, scornfully.|Fun! echoed the Demon, scornfully.
the_master_key_03_f000028|But never mind; I must use the material Fate has provided for me, and make the best of it.|But never mind; I must use the material Fate has provided for me, and make the best of it.
the_master_key_03_f000029|What will you give me first?|What will you give me first?
the_master_key_03_f000030|asked the boy, eagerly.|asked the boy, eagerly.
the_master_key_03_f000031|That requires some thought, returned the Demon, and paused for several moments, while Rob feasted his eyes upon the gorgeous rays of color that flashed and vibrated in every direction and surrounded the figure of his visitor with an intense glow that resembled a halo.|That requires some thought, returned the Demon, and paused for several moments, while Rob feasted his eyes upon the gorgeous rays of color that flashed and vibrated in every direction and surrounded the figure of his visitor with an intense glow that resembled a halo.
the_master_key_03_f000032|Then the Demon raised his head and said: The thing most necessary to man is food to nourish his body.|Then the Demon raised his head and said: The thing most necessary to man is food to nourish his body.
the_master_key_03_f000033|He passes a considerable part of his life in the struggle to procure food, to prepare it properly, and in the act of eating.|He passes a considerable part of his life in the struggle to procure food, to prepare it properly, and in the act of eating.
the_master_key_03_f000034|This is not right.|This is not right.
the_master_key_03_f000035|Your body can not be very valuable to you if all your time is required to feed it.|Your body can not be very valuable to you if all your time is required to feed it.
the_master_key_03_f000036|I shall, therefore, present you, as my first gift, this box of tablets.|I shall, therefore, present you, as my first gift, this box of tablets.
the_master_key_03_f000037|Within each tablet are stored certain elements of electricity which are capable of nourishing a human body for a full day.|Within each tablet are stored certain elements of electricity which are capable of nourishing a human body for a full day.
the_master_key_03_f000038|All you need do is to toss one into your mouth each day and swallow it.|All you need do is to toss one into your mouth each day and swallow it.
the_master_key_03_f000039|It will nourish you, satisfy your hunger and build up your health and strength.|It will nourish you, satisfy your hunger and build up your health and strength.
the_master_key_03_f000040|The ordinary food of mankind is more or less injurious; this is entirely beneficial.|The ordinary food of mankind is more or less injurious; this is entirely beneficial.
the_master_key_03_f000041|Moreover, you may carry enough tablets in your pocket to last for months.|Moreover, you may carry enough tablets in your pocket to last for months.
the_master_key_03_f000042|Here he presented Rob the silver box of tablets, and the boy, somewhat nervously, thanked him for the gift.|Here he presented Rob the silver box of tablets, and the boy, somewhat nervously, thanked him for the gift.
the_master_key_03_f000043|The next requirement of man, continued the Demon, is defense from his enemies.|The next requirement of man, continued the Demon, is defense from his enemies.
the_master_key_03_f000044|I notice with sorrow that men frequently have wars and kill one another.|I notice with sorrow that men frequently have wars and kill one another.
the_master_key_03_f000045|Also, even in civilized communities, man is in constant danger from highwaymen, cranks and policemen.|Also, even in civilized communities, man is in constant danger from highwaymen, cranks and policemen.
