the_sea_fairies_01_f000001|THE oceans are big and broad.|THE oceans are big and broad.
the_sea_fairies_01_f000029|Her real name was Mayre, but when she grew big enough to walk, she took so many busy little steps every day that both her mother and Captain Bill nicknamed her Trot,|Her real name was Mayre, but when she grew big enough to walk, she took so many busy little steps every day that both her mother and Captain Bill nicknamed her Trot,
the_sea_fairies_01_f000030|and so she was thereafter mostly called.|and so she was thereafter mostly called.
the_sea_fairies_01_f000031|It was the old sailor who taught the child to love the sea, to love it almost as much as he and her father did, and these two, who represented the beginning and the end of life,|It was the old sailor who taught the child to love the sea, to love it almost as much as he and her father did, and these two, who represented the beginning and the end of life,
the_sea_fairies_01_f000032|became firm friends and constant companions.|became firm friends and constant companions.
the_sea_fairies_01_f000033|Why hasn't anybody seen a mermaid and lived? asked Trot again.|Why hasn't anybody seen a mermaid and lived? asked Trot again.
the_sea_fairies_01_f000034|because mermaids is fairies, and ain't meant to be seen by us mortal folk, replied Captain Bill.|because mermaids is fairies, and ain't meant to be seen by us mortal folk, replied Captain Bill.
the_sea_fairies_01_f000035|But if anyone happens to see them, what then, Captain?|But if anyone happens to see them, what then, Captain?
the_sea_fairies_01_f000036|Then, he answered, slowly wagging his head, the mermaids give them a smile and a wink, and they dive into the water and gets drownded.|Then, he answered, slowly wagging his head, the mermaids give them a smile and a wink, and they dive into the water and gets drownded.
the_sea_fairies_01_f000037|S'pose they knew how to swim, Captain Bill?|S'pose they knew how to swim, Captain Bill?
the_sea_fairies_01_f000038|That don't make any diff'rence, Trot.|That don't make any diff'rence, Trot.
the_sea_fairies_01_f000039|The mermaids live deep down, and the poor mortals never come up again.|The mermaids live deep down, and the poor mortals never come up again.
the_sea_fairies_01_f000040|The little girl was thoughtful for a moment.|The little girl was thoughtful for a moment.
the_sea_fairies_01_f000041|But why do folks dive in the water when the mermaids smile and wink? she asked.|But why do folks dive in the water when the mermaids smile and wink? she asked.
the_sea_fairies_01_f000042|Mermaids, he said gravely, is the most beautiful creatures in the worldor the water, either.|Mermaids, he said gravely, is the most beautiful creatures in the worldor the water, either.
the_sea_fairies_01_f000043|You know what they're like, Trot, they's got a lovely lady's form down to the waist, and then the other half of them's a fish, with green and purple and pink scales all down it.|You know what they're like, Trot, they's got a lovely lady's form down to the waist, and then the other half of them's a fish, with green and purple and pink scales all down it.
the_sea_fairies_01_f000044|Have they got arms, Captain Bill?|Have they got arms, Captain Bill?
the_sea_fairies_01_f000045|'Course, Trot; arms like any other lady.|'Course, Trot; arms like any other lady.
the_sea_fairies_01_f000046|and pretty faces that smile and look mighty sweet and fetchin'.|and pretty faces that smile and look mighty sweet and fetchin'.
the_sea_fairies_01_f000047|Their hair is long and soft and silky, and floats all around them in the water.|Their hair is long and soft and silky, and floats all around them in the water.
the_sea_fairies_01_f000048|When they comes up atop the waves, they wring the water out'n their hair and sing songs that go right to your heart.|When they comes up atop the waves, they wring the water out'n their hair and sing songs that go right to your heart.
the_sea_fairies_01_f000049|If anybody is unlucky enough to be 'round jes' then, the beauty o' them mermaids and their sweet songs charm them like magic; so's they plunge into the waves to get to the mermaids.|If anybody is unlucky enough to be 'round jes' then, the beauty o' them mermaids and their sweet songs charm them like magic; so's they plunge into the waves to get to the mermaids.
the_sea_fairies_01_f000050|But the mermaids haven't any hearts, Trot, no more'n a fish has; so they laughs when the poor people drown and don't care a fig.|But the mermaids haven't any hearts, Trot, no more'n a fish has; so they laughs when the poor people drown and don't care a fig.
the_sea_fairies_01_f000051|That's why I says, and I says it true, that nobody never saw a mermaid and lived to tell the tale.|That's why I says, and I says it true, that nobody never saw a mermaid and lived to tell the tale.
the_sea_fairies_01_f000052|Nobody? asked Trot.|Nobody? asked Trot.
the_sea_fairies_01_f000053|Nobody a tall.|Nobody a tall.
the_sea_fairies_01_f000054|Then how do you know, Captain Bill? asked the little girl, looking up into his face with big, round eyes.|Then how do you know, Captain Bill? asked the little girl, looking up into his face with big, round eyes.
the_sea_fairies_01_f000055|Captain Bill coughed.|Captain Bill coughed.
the_sea_fairies_01_f000056|Then he tried to sneeze, to gain time.|Then he tried to sneeze, to gain time.
the_sea_fairies_01_f000057|Then he took out his red cotton handkerchief and wiped his bald head with it, rubbing hard so as to make him think clearer.|Then he took out his red cotton handkerchief and wiped his bald head with it, rubbing hard so as to make him think clearer.
the_sea_fairies_01_f000058|Look, Trot; ain't that a brig out there?|Look, Trot; ain't that a brig out there?
the_sea_fairies_01_f000059|he inquired, pointing to a sail far out in the sea.|he inquired, pointing to a sail far out in the sea.
the_sea_fairies_01_f000060|How does anybody know about mermaids if those who have seen them never lived to tell about them? she asked again.|How does anybody know about mermaids if those who have seen them never lived to tell about them? she asked again.
the_sea_fairies_01_f000061|Know what about them, Trot?|Know what about them, Trot?
the_sea_fairies_01_f000062|About their green and pink scales and pretty songs and wet hair.|About their green and pink scales and pretty songs and wet hair.
the_sea_fairies_01_f000063|They don't know, I guess.|They don't know, I guess.
the_sea_fairies_01_f000064|But mermaids jes' natcherly has to be like that, or they wouldn't be mermaids.|But mermaids jes' natcherly has to be like that, or they wouldn't be mermaids.
the_sea_fairies_01_f000065|She thought this over.|She thought this over.
the_sea_fairies_01_f000066|Somebody MUST have lived, Captain Bill, she declared positively.|Somebody MUST have lived, Captain Bill, she declared positively.
the_sea_fairies_01_f000067|Other fairies have been seen by mortals; why not mermaids?|Other fairies have been seen by mortals; why not mermaids?
the_sea_fairies_01_f000068|Perhaps they have, Trot, Perhaps they have, he answered musingly.|Perhaps they have, Trot, Perhaps they have, he answered musingly.
the_sea_fairies_01_f000069|I'm tellin' you as it was told to me, but I never stopped to inquire into the matter so close before.|I'm tellin' you as it was told to me, but I never stopped to inquire into the matter so close before.
the_sea_fairies_01_f000070|Seems like folks wouldn't know so much about mermaids if they hadn't seen them; and yet according to all accounts the victim is bound to get drownded.|Seems like folks wouldn't know so much about mermaids if they hadn't seen them; and yet according to all accounts the victim is bound to get drownded.
the_sea_fairies_01_f000071|Perhaps, suggested Trot softly, someone found a fotygraph of one of them.|Perhaps, suggested Trot softly, someone found a fotygraph of one of them.
the_sea_fairies_01_f000072|That might o' been, Trot, that might o' been, answered Captain Bill.|That might o' been, Trot, that might o' been, answered Captain Bill.
the_sea_fairies_01_f000073|A nice man was Captain Bill, and Trot knew he always liked to explain everything so she could fully understand it.|A nice man was Captain Bill, and Trot knew he always liked to explain everything so she could fully understand it.
the_sea_fairies_01_f000074|The aged sailor was not a very tall man, and some people might have called him chubby, or even fat.|The aged sailor was not a very tall man, and some people might have called him chubby, or even fat.
the_sea_fairies_01_f000075|He wore a blue sailor shirt with white anchors worked on the corners of the broad, square collar, and his blue trousers were very wide at the bottom.|He wore a blue sailor shirt with white anchors worked on the corners of the broad, square collar, and his blue trousers were very wide at the bottom.
the_sea_fairies_01_f000076|He always wore one trouser leg over his wooden limb and sometimes it would flutter in the wind like a flag because it was so wide and the wooden leg so slender.|He always wore one trouser leg over his wooden limb and sometimes it would flutter in the wind like a flag because it was so wide and the wooden leg so slender.
the_sea_fairies_01_f000077|His rough kersey coat was a pea-jacket and came down to his waistline.|His rough kersey coat was a pea-jacket and came down to his waistline.
the_sea_fairies_01_f000078|In the big pockets of his jacket he kept a wonderful jackknife, and his pipe and tobacco, and many bits of string, and matches and keys and lots of other things.|In the big pockets of his jacket he kept a wonderful jackknife, and his pipe and tobacco, and many bits of string, and matches and keys and lots of other things.
the_sea_fairies_01_f000079|Whenever Captain Bill thrust a chubby hand into one of his pockets, Trot watched him with breathless interest, for she never knew what he was going to pull out.|Whenever Captain Bill thrust a chubby hand into one of his pockets, Trot watched him with breathless interest, for she never knew what he was going to pull out.
the_sea_fairies_01_f000080|The old sailor's face was brown as a berry.|The old sailor's face was brown as a berry.
the_sea_fairies_01_f000081|He had a fringe of hair around the back of his head and a fringe of whisker around the edge of his face, running from ear to ear and underneath his chin.|He had a fringe of hair around the back of his head and a fringe of whisker around the edge of his face, running from ear to ear and underneath his chin.
the_sea_fairies_01_f000082|His eyes were light blue and kind in expression.|His eyes were light blue and kind in expression.
the_sea_fairies_01_f000083|His nose was big and broad, and his few teeth were not strong enough to crack nuts with.|His nose was big and broad, and his few teeth were not strong enough to crack nuts with.
the_sea_fairies_01_f000084|Trot liked Captain Bill and had a great deal of confidence in his wisdom, and a great admiration for his ability to make tops and whistles and toys with that marvelous jackknife of his.|Trot liked Captain Bill and had a great deal of confidence in his wisdom, and a great admiration for his ability to make tops and whistles and toys with that marvelous jackknife of his.
the_sea_fairies_01_f000085|In the village were many boys and girls of her own age, but she never had as much fun playing with them as she had wandering by the sea accompanied by the old sailor and listening to his fascinating stories.|In the village were many boys and girls of her own age, but she never had as much fun playing with them as she had wandering by the sea accompanied by the old sailor and listening to his fascinating stories.
the_sea_fairies_01_f000086|She knew all about the Flying Dutchman, and Davy Jones' Locker, and Captain Kidd, and how to harpoon a whale or dodge an iceberg or lasso a seal.|She knew all about the Flying Dutchman, and Davy Jones' Locker, and Captain Kidd, and how to harpoon a whale or dodge an iceberg or lasso a seal.
the_sea_fairies_01_f000087|Captain Bill had been everywhere in the world, almost, on his many voyages.|Captain Bill had been everywhere in the world, almost, on his many voyages.
the_sea_fairies_01_f000088|He had been wrecked on desert islands like Robinson Crusoe and been attacked by cannibals, and had a host of other exciting adventures.|He had been wrecked on desert islands like Robinson Crusoe and been attacked by cannibals, and had a host of other exciting adventures.
the_sea_fairies_01_f000089|So he was a delightful comrade for the little girl, and whatever Captain Bill knew Trot was sure to know in time.|So he was a delightful comrade for the little girl, and whatever Captain Bill knew Trot was sure to know in time.
the_sea_fairies_01_f000090|How do the mermaids live? she asked.|How do the mermaids live? she asked.
the_sea_fairies_01_f000091|Are they in caves, or just in the water like fishes, or how?|Are they in caves, or just in the water like fishes, or how?
the_sea_fairies_01_f000092|Candt say, Trot, he replied.|Candt say, Trot, he replied.
the_sea_fairies_01_f000093|I've asked divers about that, but none of them ever run acrost a mermaid's nest yet, as I've heard of.|I've asked divers about that, but none of them ever run acrost a mermaid's nest yet, as I've heard of.
the_sea_fairies_01_f000094|If they're fairies, she said, their homes must be very pretty.|If they're fairies, she said, their homes must be very pretty.
the_sea_fairies_01_f000095|Mebbe so, Trot, but damp.|Mebbe so, Trot, but damp.
the_sea_fairies_01_f000096|They are sure to be damp, you know.|They are sure to be damp, you know.
the_sea_fairies_01_f000097|I'd like to see a mermaid, Captain Bill, said the child earnestly.|I'd like to see a mermaid, Captain Bill, said the child earnestly.
the_sea_fairies_01_f000098|What, and git drownded?|What, and git drownded?
the_sea_fairies_01_f000099|he exclaimed.|he exclaimed.
the_sea_fairies_01_f000100|No, and live to tell the tale.|No, and live to tell the tale.
the_sea_fairies_01_f000101|If they're beautiful, and laughing, and sweet, there candt be much harm in them, I'm sure.|If they're beautiful, and laughing, and sweet, there candt be much harm in them, I'm sure.
the_sea_fairies_01_f000102|Mermaids is mermaids, remarked Captain Bill in his most solemn voice.|Mermaids is mermaids, remarked Captain Bill in his most solemn voice.
the_sea_fairies_01_f000103|It wouldn't do us any good to mix up with them, Trot.|It wouldn't do us any good to mix up with them, Trot.
the_sea_fairies_01_f000104|May-re!|May-re!
the_sea_fairies_01_f000105|May-re! called a voice from the house.|May-re! called a voice from the house.
the_sea_fairies_01_f000106|Yes, Mamma!|Yes, Mamma!
the_sea_fairies_01_f000107|You and Captain Bill come in to supper.|You and Captain Bill come in to supper.
the_sea_fairies_02_f000001|CHAPTER 2 THE MERMAIDS.|CHAPTER two THE MERMAIDS.
the_sea_fairies_02_f000002|The next morning, as soon as Trot had helped wipe the breakfast dishes and put them away in the cupboard, the little girl and Captain Bill started out toward the bluff.|The next morning, as soon as Trot had helped wipe the breakfast dishes and put them away in the cupboard, the little girl and Captain Bill started out toward the bluff.
the_sea_fairies_02_f000003|The air was soft and warm and the sun turned the edges of the waves into sparkling diamonds.|The air was soft and warm and the sun turned the edges of the waves into sparkling diamonds.
the_sea_fairies_02_f000004|Across the bay the last of the fisherboats was speeding away out to sea, for well the fishermen knew this was an ideal day to catch rockbass, barracuda and yellowtail.|Across the bay the last of the fisherboats was speeding away out to sea, for well the fishermen knew this was an ideal day to catch rockbass, barracuda and yellowtail.
the_sea_fairies_02_f000005|The old man and the young girl stood on the bluff and watched all this with interest.|The old man and the young girl stood on the bluff and watched all this with interest.
the_sea_fairies_02_f000006|Here was their world.|Here was their world.
the_sea_fairies_02_f000007|It isn't a bit rough this morning.|It isn't a bit rough this morning.
the_sea_fairies_02_f000008|Let's have a boat ride, Captain Bill, said the child.|Let's have a boat ride, Captain Bill, said the child.
the_sea_fairies_02_f000009|Suits me to a T, declared the sailor.|Suits me to a T, declared the sailor.
the_sea_fairies_02_f000010|So they found the winding path that led down the face of the cliff to the narrow beach below and cautiously began the descent.|So they found the winding path that led down the face of the cliff to the narrow beach below and cautiously began the descent.
the_sea_fairies_02_f000011|Trot never minded the steep path or the loose rocks at all, but Captain Bill's wooden leg was not so useful on a downgrade as on a level, and he had to be careful not to slip and take a tumble.|Trot never minded the steep path or the loose rocks at all, but Captain Bill's wooden leg was not so useful on a downgrade as on a level, and he had to be careful not to slip and take a tumble.
the_sea_fairies_02_f000012|But by and by they reached the sands and walked to a spot just beneath the big acacia tree that grew on the bluff.|But by and by they reached the sands and walked to a spot just beneath the big acacia tree that grew on the bluff.
the_sea_fairies_02_f000013|Halfway to the top of the cliff hung suspended a little shed-like structure that sheltered Trot's rowboat,|Halfway to the top of the cliff hung suspended a little shed-like structure that sheltered Trot's rowboat,
the_sea_fairies_02_f000014|for it was necessary to pull the boat out of reach of the waves which beat in fury against the rocks at high tide.|for it was necessary to pull the boat out of reach of the waves which beat in fury against the rocks at high tide.
the_sea_fairies_02_f000015|About as high up as Captain Bill could reach was an iron ring securely fastened to the cliff, and to this ring was tied a rope.|About as high up as Captain Bill could reach was an iron ring securely fastened to the cliff, and to this ring was tied a rope.
the_sea_fairies_02_f000016|The old sailor unfastened the knot and began paying out the rope, and the rowboat came out of its shed and glided slowly downward to the beach.|The old sailor unfastened the knot and began paying out the rope, and the rowboat came out of its shed and glided slowly downward to the beach.
the_sea_fairies_02_f000017|It hung on a pair of davits and was lowered just as a boat is lowered from a ship's side.|It hung on a pair of davits and was lowered just as a boat is lowered from a ship's side.
the_sea_fairies_02_f000018|When it reached the sands, the sailor unhooked the ropes and pushed the boat to the water's edge.|When it reached the sands, the sailor unhooked the ropes and pushed the boat to the water's edge.
the_sea_fairies_02_f000019|It was a pretty little craft, light and strong, and Captain Bill knew how to sail it or row it, as Trot might desire.|It was a pretty little craft, light and strong, and Captain Bill knew how to sail it or row it, as Trot might desire.
the_sea_fairies_02_f000020|Today they decided to row, so the girl climbed into the bow and her companion stuck his wooden leg into the water's edge so he wouldn't get his foot wet and pushed off the little boat as he climbed aboard.|Today they decided to row, so the girl climbed into the bow and her companion stuck his wooden leg into the water's edge so he wouldn't get his foot wet and pushed off the little boat as he climbed aboard.
the_sea_fairies_02_f000021|Then he seized the oars and began gently paddling.|Then he seized the oars and began gently paddling.
the_sea_fairies_02_f000022|Whither away, Commodore Trot?|Whither away, Commodore Trot?
the_sea_fairies_02_f000023|he asked gaily.|he asked gaily.
the_sea_fairies_02_f000024|I don't care, Captain.|I don't care, Captain.
the_sea_fairies_02_f000025|It's just fun enough to be on the water, she answered, trailing one hand overboard.|It's just fun enough to be on the water, she answered, trailing one hand overboard.
the_sea_fairies_02_f000026|So he rowed around by the North Promontory, where the great caves were, and much as they were enjoying the ride, they soon began to feel the heat of the sun.|So he rowed around by the North Promontory, where the great caves were, and much as they were enjoying the ride, they soon began to feel the heat of the sun.
the_sea_fairies_02_f000027|That's Dead Mands Cave, because a skellington was found there, observed the child as they passed a dark, yawning mouth in the cliff.|That's Dead Mands Cave, because a skellington was found there, observed the child as they passed a dark, yawning mouth in the cliff.
the_sea_fairies_02_f000028|And that's Bumble Cave, because the bumblebees make nests in the top of it.|And that's Bumble Cave, because the bumblebees make nests in the top of it.
the_sea_fairies_02_f000029|And here's Smuggler's Cave, because the smugglers used to hide things in it.|And here's Smuggler's Cave, because the smugglers used to hide things in it.
the_sea_fairies_02_f000030|She knew all the caves well, and so did Captain Bill.|She knew all the caves well, and so did Captain Bill.
the_sea_fairies_02_f000031|Many of them opened just at the water's edge, and it was possible to row their boat far into their dusky depths.|Many of them opened just at the water's edge, and it was possible to row their boat far into their dusky depths.
the_sea_fairies_02_f000032|And here's Echo Cave, she continued, dreamily, as they slowly moved along the coast, and Giant's Cave, andoh, Captain Bill!|And here's Echo Cave, she continued, dreamily, as they slowly moved along the coast, and Giant's Cave, andoh, Captain Bill!
the_sea_fairies_02_f000033|Do you s'pose there were ever any giants in that cave?|Do you s'pose there were ever any giants in that cave?
the_sea_fairies_02_f000034|'Pears like there must o' been, Trot, or they wouldn't o' named it that name, he replied, pausing to wipe his bald head with the red handkerchief while the oars dragged in the water.|'Pears like there must o' been, Trot, or they wouldn't o' named it that name, he replied, pausing to wipe his bald head with the red handkerchief while the oars dragged in the water.
the_sea_fairies_02_f000035|We've never been into that cave, Captain, she remarked, looking at the small hole in the cliffan archway through which the water flowed.|We've never been into that cave, Captain, she remarked, looking at the small hole in the cliffan archway through which the water flowed.
the_sea_fairies_02_f000036|Let's go in now.|Let's go in now.
the_sea_fairies_02_f000037|What for, Trot?|What for, Trot?
the_sea_fairies_02_f000038|To see if there's a giant there.|To see if there's a giant there.
the_sea_fairies_02_f000039|Hm.|Hm.
the_sea_fairies_02_f000040|Aren't you 'fraid?|Aren't you 'fraid?
the_sea_fairies_02_f000041|No, are you?|No, are you?
the_sea_fairies_02_f000042|I just don't b'lieve it's big enough for a giant to get into.|I just don't b'lieve it's big enough for a giant to get into.
the_sea_fairies_02_f000043|Your father was in there once, remarked Captain Bill, and he says it's the biggest cave on the coast, but low down.|Your father was in there once, remarked Captain Bill, and he says it's the biggest cave on the coast, but low down.
the_sea_fairies_02_f000044|It's full o' water, and the water's deep down to the very bottom o' the ocean; but the rock roof's liable to bump your head at high tide .|It's full o' water, and the water's deep down to the very bottom o' the ocean; but the rock roof's liable to bump your head at high tide .
the_sea_fairies_02_f000045|It's low tide now, returned Trot.|It's low tide now, returned Trot.
the_sea_fairies_02_f000046|And how could any giant live in there if the roof is so low down?|And how could any giant live in there if the roof is so low down?
the_sea_fairies_02_f000047|Why, he couldn't, mate.|Why, he couldn't, mate.
the_sea_fairies_02_f000048|I reckon they must have called it Giant's Cave because it's so big, and not because any giant man lived there.|I reckon they must have called it Giant's Cave because it's so big, and not because any giant man lived there.
the_sea_fairies_02_f000049|Let's go in, said the girl again.|Let's go in, said the girl again.
the_sea_fairies_02_f000050|I'd like to 'splore it.|I'd like to 'splore it.
the_sea_fairies_02_f000051|All right, replied the sailor.|All right, replied the sailor.
the_sea_fairies_02_f000052|It'll be cooler in there than out here in the sun.|It'll be cooler in there than out here in the sun.
the_sea_fairies_02_f000053|We won't go very far, for when the tide turns we mightn't get out again.|We won't go very far, for when the tide turns we mightn't get out again.
the_sea_fairies_02_f000054|He picked up the oars and rowed slowly toward the cave.|He picked up the oars and rowed slowly toward the cave.
the_sea_fairies_02_f000055|The black archway that marked its entrance seemed hardly big enough to admit the boat at first, but as they drew nearer, the opening became bigger.|The black archway that marked its entrance seemed hardly big enough to admit the boat at first, but as they drew nearer, the opening became bigger.
the_sea_fairies_02_f000056|The sea was very calm here, for the headland shielded it from the breeze.|The sea was very calm here, for the headland shielded it from the breeze.
the_sea_fairies_02_f000057|Look out fer your head, Trot!|Look out fer your head, Trot!
the_sea_fairies_02_f000058|cautioned Captain Bill as the boat glided slowly into the rocky arch.|cautioned Captain Bill as the boat glided slowly into the rocky arch.
the_sea_fairies_02_f000059|But it was the sailor who had to duck, instead of the little girl.|But it was the sailor who had to duck, instead of the little girl.
the_sea_fairies_02_f000060|Only for a moment, though.|Only for a moment, though.
the_sea_fairies_02_f000061|Just beyond the opening the cave was higher, and as the boat floated into the dim interior they found themselves on quite an extensive branch of the sea.|Just beyond the opening the cave was higher, and as the boat floated into the dim interior they found themselves on quite an extensive branch of the sea.
the_sea_fairies_02_f000062|For a time neither of them spoke and only the soft lapping of the water against the sides of the boat was heard.|For a time neither of them spoke and only the soft lapping of the water against the sides of the boat was heard.
the_sea_fairies_02_f000063|A beautiful sight met the eyes of the two adventurers and held them dumb with wonder and delight.|A beautiful sight met the eyes of the two adventurers and held them dumb with wonder and delight.
the_sea_fairies_02_f000064|It was not dark in this vast cave, yet the light seemed to come from underneath the water, which all around them glowed with an exquisite sapphire color.|It was not dark in this vast cave, yet the light seemed to come from underneath the water, which all around them glowed with an exquisite sapphire color.
the_sea_fairies_02_f000065|Where the little waves crept up the sides of the rocks they shone like brilliant jewels, and every drop of spray seemed a gem fit to deck a queen.|Where the little waves crept up the sides of the rocks they shone like brilliant jewels, and every drop of spray seemed a gem fit to deck a queen.
the_sea_fairies_02_f000066|Trot leaned her chin on her hands and her elbows on her lap and gazed at this charming sight with real enjoyment.|Trot leaned her chin on her hands and her elbows on her lap and gazed at this charming sight with real enjoyment.
the_sea_fairies_02_f000067|Captain Bill drew in the oars and let the boat drift where it would while he also sat silently admiring the scene.|Captain Bill drew in the oars and let the boat drift where it would while he also sat silently admiring the scene.
the_sea_fairies_02_f000068|Slowly the little craft crept farther and farther into the dim interior of the vast cavern, while its two passengers feasted their eyes on the beauties constantly revealed.|Slowly the little craft crept farther and farther into the dim interior of the vast cavern, while its two passengers feasted their eyes on the beauties constantly revealed.
the_sea_fairies_02_f000069|Both the old seaman and the little girl loved the ocean in all its various moods.|Both the old seaman and the little girl loved the ocean in all its various moods.
the_sea_fairies_02_f000070|To them it was a constant companion and a genial comrade.|To them it was a constant companion and a genial comrade.
the_sea_fairies_02_f000071|If it stormed and raved, they laughed with glee; if it rolled great breakers against the shore, they clapped their hands joyfully; if it lay slumbering at their feet,|If it stormed and raved, they laughed with glee; if it rolled great breakers against the shore, they clapped their hands joyfully; if it lay slumbering at their feet,
the_sea_fairies_02_f000072|they petted and caressed it, but always they loved it.|they petted and caressed it, but always they loved it.
the_sea_fairies_02_f000073|Here was the ocean yet.|Here was the ocean yet.
the_sea_fairies_02_f000074|It had crept under the dome of overhanging rock to reveal itself crowned with sapphires and dressed in azure gown, revealing in this guise new and unexpected charms.|It had crept under the dome of overhanging rock to reveal itself crowned with sapphires and dressed in azure gown, revealing in this guise new and unexpected charms.
the_sea_fairies_02_f000075|Good morning, Mayre, said a sweet voice.|Good morning, Mayre, said a sweet voice.
the_sea_fairies_02_f000076|Trot gave a start and looked around her in wonder.|Trot gave a start and looked around her in wonder.
the_sea_fairies_02_f000077|Just beside her in the water were little eddiescircles within circlessuch as are caused when anything sinks below the surface.|Just beside her in the water were little eddiescircles within circlessuch as are caused when anything sinks below the surface.
the_sea_fairies_02_f000078|Diddid you hear that, Captain Bill?|Diddid you hear that, Captain Bill?
the_sea_fairies_02_f000079|she whispered solemnly.|she whispered solemnly.
the_sea_fairies_02_f000080|Captain Bill did not answer.|Captain Bill did not answer.
the_sea_fairies_02_f000081|He was staring with eyes that fairly bulged out at a place behind Trot's back, and he shook a little, as if trembling from cold.|He was staring with eyes that fairly bulged out at a place behind Trot's back, and he shook a little, as if trembling from cold.
the_sea_fairies_02_f000082|Trot turned half around, and then she stared, too.|Trot turned half around, and then she stared, too.
