poisoned_pen_01_f000001|THE POISONED PEN.|THE POISONED PEN.
poisoned_pen_01_f000050|We have lots of these, and no handwriting expert could successfully deny the identity of the writing.|We have lots of these, and no handwriting expert could successfully deny the identity of the writing.
poisoned_pen_01_f000051|He stowed away the letters without letting Kennedy get a hint as to their contents. Kennedy was examining the note carefully.|He stowed away the letters without letting Kennedy get a hint as to their contents. Kennedy was examining the note carefully.
poisoned_pen_01_f000052|May I count on having this note for further examination, of course always at such times and under such conditions as you agree to?|May I count on having this note for further examination, of course always at such times and under such conditions as you agree to?
poisoned_pen_01_f000053|The attorney nodded. I am perfectly willing to do anything not illegal to accommodate the senator, he said. But, on the other hand, I am here to do my duty for the state, cost whom it may.|The attorney nodded. I am perfectly willing to do anything not illegal to accommodate the senator, he said. But, on the other hand, I am here to do my duty for the state, cost whom it may.
poisoned_pen_01_f000054|The Willard house was in a virtual state of siege. Newspaper reporters from Boston and New York were actually encamped at every gate, terrible as an army, with cameras.|The Willard house was in a virtual state of siege. Newspaper reporters from Boston and New York were actually encamped at every gate, terrible as an army, with cameras.
poisoned_pen_01_f000055|It was with some difficulty that we got in, even though we were expected, for some of the more enterprising had already fooled the family by posing as officers of the law and messengers from doctor Dixon.|It was with some difficulty that we got in, even though we were expected, for some of the more enterprising had already fooled the family by posing as officers of the law and messengers from doctor Dixon.
poisoned_pen_01_f000056|The house was a real, old colonial mansion with tall white pillars, a door with a glittering brass knocker, which gleamed out severely at you as you approached through a hedge of faultlessly trimmed boxwoods.|The house was a real, old colonial mansion with tall white pillars, a door with a glittering brass knocker, which gleamed out severely at you as you approached through a hedge of faultlessly trimmed boxwoods.
poisoned_pen_01_f000057|Senator, or rather former Senator, Willard met us in the library, and a moment later his daughter Alma joined him. She was tall, like her father,|Senator, or rather former Senator, Willard met us in the library, and a moment later his daughter Alma joined him. She was tall, like her father,
poisoned_pen_01_f000058|a girl of poise and self-control.|a girl of poise and self-control.
poisoned_pen_01_f000059|Yet even the schooling of twenty-two years in rigorous New England self-restraint could not hide the very human pallor of her face after the sleepless nights and nervous days since this trouble had broken on her placid existence.|Yet even the schooling of twenty-two years in rigorous New England self-restraint could not hide the very human pallor of her face after the sleepless nights and nervous days since this trouble had broken on her placid existence.
poisoned_pen_01_f000060|Yet there was a mark of strength and determination on her face that was fascinating. The man who would trifle with this girl, I felt, was playing fast and loose with her very life.|Yet there was a mark of strength and determination on her face that was fascinating. The man who would trifle with this girl, I felt, was playing fast and loose with her very life.
poisoned_pen_01_f000061|I thought then, and I said to Kennedy afterward: If this doctor Dixon is guilty, you have no right to hide it from that girl.|I thought then, and I said to Kennedy afterward: If this doctor Dixon is guilty, you have no right to hide it from that girl.
poisoned_pen_01_f000062|Anything less than the truth will only blacken the hideousness of the crime that has already been committed.|Anything less than the truth will only blacken the hideousness of the crime that has already been committed.
poisoned_pen_01_f000063|The senator greeted I us gravely, and I could not but take it as a good omen when, in his pride of wealth and family and tradition, he laid bare everything to us,|The senator greeted I us gravely, and I could not but take it as a good omen when, in his pride of wealth and family and tradition, he laid bare everything to us,
poisoned_pen_01_f000064|for the sake of Alma Willard.|for the sake of Alma Willard.
poisoned_pen_01_f000065|It was clear that in this family there was one word that stood above all others, Duty.|It was clear that in this family there was one word that stood above all others, Duty.
poisoned_pen_01_f000066|As we were about to leave after an interview barren of new facts, a young man was announced, mister Halsey Post. He bowed politely to us, but it was evident why he had called,|As we were about to leave after an interview barren of new facts, a young man was announced, mister Halsey Post. He bowed politely to us, but it was evident why he had called,
poisoned_pen_01_f000067|as his eye followed Alma about the room.|as his eye followed Alma about the room.
poisoned_pen_01_f000068|The son of the late Halsey Post, of Post & Vance, silversmiths, who have the large factory in town, which you perhaps noticed, explained the senator.|The son of the late Halsey Post, of Post  Vance, silversmiths, who have the large factory in town, which you perhaps noticed, explained the senator.
poisoned_pen_01_f000069|My daughter has known him all her life. A very fine young man.|My daughter has known him all her life. A very fine young man.
poisoned_pen_01_f000070|Later, we learned that the senator had bent every effort toward securing Halsey Post as a son-in-law, but his daughter had had views of her own on the subject.|Later, we learned that the senator had bent every effort toward securing Halsey Post as a son-in-law, but his daughter had had views of her own on the subject.
poisoned_pen_01_f000071|Post waited until Alma had withdrawn before he disclosed the real object of his visit. In almost a whisper, lest she should still be listening,|Post waited until Alma had withdrawn before he disclosed the real object of his visit. In almost a whisper, lest she should still be listening,
poisoned_pen_01_f000072|he said, There is a story about town that Vera Lytton's former husband - an artist named Thurston - was here just before her death.|he said, There is a story about town that Vera Lytton's former husband - an artist named Thurston - was here just before her death.
poisoned_pen_01_f000073|Senator Willard leaned forward as if expecting to hear Dixon immediately acquitted. None of us was prepared for the next remark.|Senator Willard leaned forward as if expecting to hear Dixon immediately acquitted. None of us was prepared for the next remark.
poisoned_pen_01_f000074|And the story goes on to say that he threatened to make a scene over a wrong he says he has suffered from Dixon. I don't know anything more about it,|And the story goes on to say that he threatened to make a scene over a wrong he says he has suffered from Dixon. I don't know anything more about it,
poisoned_pen_01_f000075|and I tell you only because I think you ought to know what Danbridge is saying under its breath.|and I tell you only because I think you ought to know what Danbridge is saying under its breath.
poisoned_pen_01_f000076|We shook off the last of the reporters who affixed themselves to us, and for a moment Kennedy dropped in at the little bungalow to see Missis|We shook off the last of the reporters who affixed themselves to us, and for a moment Kennedy dropped in at the little bungalow to see Missis
poisoned_pen_01_f000077|Boncour. She was much better, though she had suffered much.|Boncour. She was much better, though she had suffered much.
poisoned_pen_01_f000078|She had taken only a pinhead of the poison, but it had proved very nearly fatal.|She had taken only a pinhead of the poison, but it had proved very nearly fatal.
poisoned_pen_01_f000079|Had Miss Lytton any enemies whom you think of, people who were jealous of her professionally or personally? asked Craig.|Had Miss Lytton any enemies whom you think of, people who were jealous of her professionally or personally? asked Craig.
poisoned_pen_01_f000080|I should not even have said doctor Dixon was an enemy, she replied evasively.|I should not even have said doctor Dixon was an enemy, she replied evasively.
poisoned_pen_01_f000081|But this mister Thurston, put in Kennedy quickly. One is not usually visited in perfect friendship by a husband who has been divorced.|But this mister Thurston, put in Kennedy quickly. One is not usually visited in perfect friendship by a husband who has been divorced.
poisoned_pen_01_f000082|She regarded him keenly for a moment. Halsey Post told you that, she said. No one else knew he was here. But Halsey Post was an old friend of both Vera and mister Thurston before they separated.|She regarded him keenly for a moment. Halsey Post told you that, she said. No one else knew he was here. But Halsey Post was an old friend of both Vera and mister Thurston before they separated.
poisoned_pen_01_f000083|By chance he happened to drop in the day mister Thurston was here, and later in the day I gave him a letter to forward to mister Thurston, which had come after the artist left.|By chance he happened to drop in the day mister Thurston was here, and later in the day I gave him a letter to forward to mister Thurston, which had come after the artist left.
poisoned_pen_01_f000084|I'm sure no one else knew the artist. He was here the morning of the day she died, and - and - that's every bit I'm going to tell you about him, so there.|I'm sure no one else knew the artist. He was here the morning of the day she died, and - and - that's every bit I'm going to tell you about him, so there.
poisoned_pen_01_f000085|I don't know why he came or where he went.|I don't know why he came or where he went.
poisoned_pen_01_f000086|That's a thing we must follow up later, remarked Kennedy as we made our adieus. Just now I want to get the facts in hand.|That's a thing we must follow up later, remarked Kennedy as we made our adieus. Just now I want to get the facts in hand.
poisoned_pen_01_f000087|The next thing on my programme is to see this doctor Waterworth.|The next thing on my programme is to see this doctor Waterworth.
poisoned_pen_01_f000088|We found the doctor still in bed; in fact, a wreck as the result of his adventure. He had little to correct in the facts of the story which had been published so far.|We found the doctor still in bed; in fact, a wreck as the result of his adventure. He had little to correct in the facts of the story which had been published so far.
poisoned_pen_01_f000089|But there were many other details of the poisoning he was quite willing to discuss frankly.|But there were many other details of the poisoning he was quite willing to discuss frankly.
poisoned_pen_01_f000090|It was true about the jar of ammonia? asked Kennedy.|It was true about the jar of ammonia? asked Kennedy.
poisoned_pen_01_f000091|Yes, he answered. It was standing on her dressing-table with the note crumpled up in it, just as the papers said.|Yes, he answered. It was standing on her dressing-table with the note crumpled up in it, just as the papers said.
poisoned_pen_01_f000092|And you have no idea why it was there?|And you have no idea why it was there?
poisoned_pen_01_f000093|I didn't say that. I can guess. Fumes of ammonia are one of the antidotes for poisoning of this kind.|I didn't say that. I can guess. Fumes of ammonia are one of the antidotes for poisoning of this kind.
poisoned_pen_01_f000094|But Vera Lytton could hardly have known that, objected Kennedy.|But Vera Lytton could hardly have known that, objected Kennedy.
poisoned_pen_01_f000095|No, of course not. But she probably did know that ammonia is good for just that sort of faintness which she must have experienced after taking the powder.|No, of course not. But she probably did know that ammonia is good for just that sort of faintness which she must have experienced after taking the powder.
poisoned_pen_01_f000096|Perhaps she thought of sal volatile, I don't know. But most people know that ammonia in some form is good for faintness of this sort, even if they don't know anything about cyanides and - Then it was cyanide? interrupted Craig.|Perhaps she thought of sal volatile, I don't know. But most people know that ammonia in some form is good for faintness of this sort, even if they don't know anything about cyanides and - Then it was cyanide? interrupted Craig.
poisoned_pen_01_f000097|Yes, he replied slowly. It was evident that he was suffering great physical and nervous anguish as the result of his too intimate acquaintance with the poisons in question.|Yes, he replied slowly. It was evident that he was suffering great physical and nervous anguish as the result of his too intimate acquaintance with the poisons in question.
poisoned_pen_01_f000098|I will tell you precisely how it was, Professor Kennedy. When I was called in to see Miss Lytton I found her on the bed. I pried open her jaws and smelled the sweetish odour of the cyanogen gas.|I will tell you precisely how it was, Professor Kennedy. When I was called in to see Miss Lytton I found her on the bed. I pried open her jaws and smelled the sweetish odour of the cyanogen gas.
poisoned_pen_01_f000099|I knew then what she had taken, and at the moment she was dead. In the next room I heard some one moaning. The maid said that it was Missis|I knew then what she had taken, and at the moment she was dead. In the next room I heard some one moaning. The maid said that it was Missis
poisoned_pen_01_f000100|Boncour, and that she was deathly sick. I ran into her room, and though she was beside herself with pain I managed to control her, though she struggled desperately against me.|Boncour, and that she was deathly sick. I ran into her room, and though she was beside herself with pain I managed to control her, though she struggled desperately against me.
poisoned_pen_01_f000101|I was rushing her to the bathroom, passing through Miss Lytton's room. What's wrong? I asked as I carried her along. I took some of that, she replied,|I was rushing her to the bathroom, passing through Miss Lytton's room. What's wrong? I asked as I carried her along. I took some of that, she replied,
poisoned_pen_01_f000102|pointing to the bottle on the dressing-table.|pointing to the bottle on the dressing-table.
poisoned_pen_01_f000103|I put a small quantity of its crystal contents on my tongue. Then I realised the most tragic truth of my life. I had taken one of the deadliest poisons in the world.|I put a small quantity of its crystal contents on my tongue. Then I realised the most tragic truth of my life. I had taken one of the deadliest poisons in the world.
poisoned_pen_01_f000104|The odour of the released gas of cyanogen was strong. But more than that, the metallic taste and the horrible burning sensation told of the presence of some form of mercury, too.|The odour of the released gas of cyanogen was strong. But more than that, the metallic taste and the horrible burning sensation told of the presence of some form of mercury, too.
poisoned_pen_01_f000105|In that terrible moment my brain worked with the incredible swiftness of light. In a flash I knew that if I added malic acid to the mercury - per chloride of mercury or corrosive sublimate - I would have calomel or subchloride of mercury,|In that terrible moment my brain worked with the incredible swiftness of light. In a flash I knew that if I added malic acid to the mercury - per chloride of mercury or corrosive sublimate - I would have calomel or subchloride of mercury,
poisoned_pen_01_f000106|the only thing that would switch the poison out of my system and Missis|the only thing that would switch the poison out of my system and Missis
poisoned_pen_01_f000107|Boncour's.|Boncour's.
poisoned_pen_01_f000108|Seizing her about the waist, I hurried into the dining-room. On a sideboard was a dish of fruit. I took two apples. I made her eat one, core and all.|Seizing her about the waist, I hurried into the dining-room. On a sideboard was a dish of fruit. I took two apples. I made her eat one, core and all.
poisoned_pen_01_f000109|I ate the other. The fruit contained the malic acid I needed to manufacture the calomel, and I made it right there in nature's own laboratory.|I ate the other. The fruit contained the malic acid I needed to manufacture the calomel, and I made it right there in nature's own laboratory.
poisoned_pen_01_f000110|But there was no time to stop. I had to act just as quickly to neutralise that cyanide, too. Remembering the ammonia, I rushed back with Missis|But there was no time to stop. I had to act just as quickly to neutralise that cyanide, too. Remembering the ammonia, I rushed back with Missis
poisoned_pen_01_f000111|Boncour, and we inhaled the fumes. Then I found a bottle of peroxide of hydrogen. I washed out her stomach with it, and then my own.|Boncour, and we inhaled the fumes. Then I found a bottle of peroxide of hydrogen. I washed out her stomach with it, and then my own.
poisoned_pen_01_f000112|Then I injected some of the peroxide into various parts of her body. The peroxide of hydrogen and hydrocyanic acid, you know, make oxamide, which is a harmless compound.|Then I injected some of the peroxide into various parts of her body. The peroxide of hydrogen and hydrocyanic acid, you know, make oxamide, which is a harmless compound.
poisoned_pen_01_f000113|The maid put Missis Boncour to bed, saved. I went to my house, a wreck. Since then I have not left this bed. With my legs paralysed I lie here, expecting each hour to be my last.|The maid put Missis Boncour to bed, saved. I went to my house, a wreck. Since then I have not left this bed. With my legs paralysed I lie here, expecting each hour to be my last.
poisoned_pen_01_f000114|Would you taste an unknown drug again to discover the nature of a probable poison? asked Craig.|Would you taste an unknown drug again to discover the nature of a probable poison? asked Craig.
poisoned_pen_01_f000115|I don't know, he answered slowly, but I suppose I would. In such a case a conscientious doctor has no thought of self. He is there to do things,|I don't know, he answered slowly, but I suppose I would. In such a case a conscientious doctor has no thought of self. He is there to do things,
poisoned_pen_01_f000116|and he does them, according to the best that is in him.|and he does them, according to the best that is in him.
poisoned_pen_01_f000117|In spite of the fact that I haven't had one hour of unbroken sleep since that fatal day, I suppose I would do it again.|In spite of the fact that I haven't had one hour of unbroken sleep since that fatal day, I suppose I would do it again.
poisoned_pen_01_f000118|When we were leaving, I remarked: That is a martyr to science.|When we were leaving, I remarked: That is a martyr to science.
poisoned_pen_01_f000119|Could anything be more dramatic than his willing penalty for his devotion to medicine?|Could anything be more dramatic than his willing penalty for his devotion to medicine?
poisoned_pen_01_f000120|We walked along in silence. Walter, did you notice he said not a word of condemnation of Dixon, though the note was before his eyes?|We walked along in silence. Walter, did you notice he said not a word of condemnation of Dixon, though the note was before his eyes?
poisoned_pen_01_f000121|Surely Dixon has some strong supporters in Danbridge, as well as enemies.|Surely Dixon has some strong supporters in Danbridge, as well as enemies.
poisoned_pen_01_f000122|The next morning we continued our investigation. We found Dixon's lawyer, Leland, in consultation with his client in the bare cell of the county jail.|The next morning we continued our investigation. We found Dixon's lawyer, Leland, in consultation with his client in the bare cell of the county jail.
poisoned_pen_01_f000123|Dixon proved to be a clear-eyed, clean-cut young man. The thing that impressed me most about him, aside from the prepossession in his favour due to the faith of Alma Willard,|Dixon proved to be a clear-eyed, clean-cut young man. The thing that impressed me most about him, aside from the prepossession in his favour due to the faith of Alma Willard,
poisoned_pen_01_f000124|was the nerve he displayed, whether guilty or innocent.|was the nerve he displayed, whether guilty or innocent.
poisoned_pen_01_f000125|Even an innocent man might well have been staggered by the circumstantial evidence against him and the high tide of public feeling, in spite of the support that he was receiving.|Even an innocent man might well have been staggered by the circumstantial evidence against him and the high tide of public feeling, in spite of the support that he was receiving.
poisoned_pen_01_f000126|Leland, we learned, had been very active. By prompt work at the time of the young doctor's arrest he had managed to secure the greater part of doctor Dixon's personal letters,|Leland, we learned, had been very active. By prompt work at the time of the young doctor's arrest he had managed to secure the greater part of doctor Dixon's personal letters,
poisoned_pen_01_f000127|though the prosecutor secured some, the contents of which had not been disclosed.|though the prosecutor secured some, the contents of which had not been disclosed.
poisoned_pen_01_f000128|Kennedy spent most of the day in tracing out the movements of Thurston. Nothing that proved important was turned up, and even visits to near-by towns failed to show any sales of cyanide or sublimate to any one not entitled to buy them.|Kennedy spent most of the day in tracing out the movements of Thurston. Nothing that proved important was turned up, and even visits to near-by towns failed to show any sales of cyanide or sublimate to any one not entitled to buy them.
poisoned_pen_01_f000129|Meanwhile, in turning over the gossip of the town, one of the newspapermen ran across the fact that the Boncour bungalow was owned by the Posts,|Meanwhile, in turning over the gossip of the town, one of the newspapermen ran across the fact that the Boncour bungalow was owned by the Posts,
poisoned_pen_01_f000130|and that Halsey Post, as the executor of the estate, was a more frequent visitor than the mere collection of the rent would warrant.|and that Halsey Post, as the executor of the estate, was a more frequent visitor than the mere collection of the rent would warrant.
poisoned_pen_01_f000131|Missis Boncour maintained a stolid silence that covered a seething internal fury when the newspaperman in question hinted that the landlord and tenant were on exceptionally good terms.|Missis Boncour maintained a stolid silence that covered a seething internal fury when the newspaperman in question hinted that the landlord and tenant were on exceptionally good terms.
poisoned_pen_01_f000132|It was after a fruitless day of such search that we were sitting in the reading-room of the Fairfield Hotel. Leland entered.|It was after a fruitless day of such search that we were sitting in the reading-room of the Fairfield Hotel. Leland entered.
poisoned_pen_01_f000133|His face was positively white. Without a word he took us by the arm and led us across Main Street and up a flight of stairs to his office. Then he locked the door.|His face was positively white. Without a word he took us by the arm and led us across Main Street and up a flight of stairs to his office. Then he locked the door.
poisoned_pen_01_f000134|What's the matter? asked Kennedy.|What's the matter? asked Kennedy.
poisoned_pen_01_f000135|When I took this case, he said, I believed down in my heart that Dixon was innocent. I still believe it, but my faith has been rudely shaken.|When I took this case, he said, I believed down in my heart that Dixon was innocent. I still believe it, but my faith has been rudely shaken.
poisoned_pen_01_f000136|I feel that you should know about what I have just found. As I told you, we secured nearly all of doctor Dixon's letters.|I feel that you should know about what I have just found. As I told you, we secured nearly all of doctor Dixon's letters.
poisoned_pen_01_f000137|I had not read them all then. But I have been going through them to-night. Here is a letter from Vera Lytton herself. You will notice it is dated the day of her death.|I had not read them all then. But I have been going through them to-night. Here is a letter from Vera Lytton herself. You will notice it is dated the day of her death.
poisoned_pen_01_f000138|He laid the letter before us. It was written in a curious greyish-black ink in a woman's hand, and read: DEAR HARRIS: Since we agreed to disagree we have at least been good friends, if no longer lovers.|He laid the letter before us. It was written in a curious greyish-black ink in a woman's hand, and read: DEAR HARRIS: Since we agreed to disagree we have at least been good friends, if no longer lovers.
poisoned_pen_01_f000139|I am not writing in anger to reproach you with your new love, so soon after the old. I suppose Alma Willard is far better suited to be your wife than is a poor little actress - rather looked down on in this Puritan society here.|I am not writing in anger to reproach you with your new love, so soon after the old. I suppose Alma Willard is far better suited to be your wife than is a poor little actress - rather looked down on in this Puritan society here.
poisoned_pen_01_f000140|But there is something I wish to warn you about, for it concerns us all intimately.|But there is something I wish to warn you about, for it concerns us all intimately.
poisoned_pen_01_f000141|We are in danger of an awful mix-up if we don't look out. mister|We are in danger of an awful mix-up if we don't look out. mister
