silent_bullet_01_f000001|CRAIG KENNEDY’S THEORIES.|CRAIG KENNEDYS THEORIES.
silent_bullet_02_f000013|Indeed I did. A wealthy banker of the town had been murdered on the road to the golf club, no one knew why or by whom. Every clue had proved fruitless,|Indeed I did. A wealthy banker of the town had been murdered on the road to the golf club, no one knew why or by whom. Every clue had proved fruitless,
silent_bullet_02_f000014|and the list of suspects was itself so long and so impossible as to seem most discouraging.|and the list of suspects was itself so long and so impossible as to seem most discouraging.
silent_bullet_02_f000015|He sent me a piece of a torn handkerchief with a deep blood-stain on it, pursued Kennedy. He said it clearly didn’t belong to the murdered man,|He sent me a piece of a torn handkerchief with a deep blood-stain on it, pursued Kennedy. He said it clearly didnt belong to the murdered man,
silent_bullet_02_f000016|that it indicated that the murderer had himself been wounded in the tussle, but as yet it had proved utterly valueless as a clue.|that it indicated that the murderer had himself been wounded in the tussle, but as yet it had proved utterly valueless as a clue.
silent_bullet_02_f000017|Would I see what I could make of it?|Would I see what I could make of it?
silent_bullet_02_f000018|After his man had told me the story I had a feeling that the murder was committed by either a Sicilian labourer on the links or a negro waiter at the club.|After his man had told me the story I had a feeling that the murder was committed by either a Sicilian labourer on the links or a negro waiter at the club.
silent_bullet_02_f000019|Well, to make a short story shorter, I decided to test the blood-stain. Probably you didn’t know it, but the Carnegie Institution has just published a minute,|Well, to make a short story shorter, I decided to test the blood-stain. Probably you didnt know it, but the Carnegie Institution has just published a minute,
silent_bullet_02_f000020|careful, and dry study of the blood of human beings and of animals.|careful, and dry study of the blood of human beings and of animals.
silent_bullet_02_f000021|In fact, they have been able to reclassify the whole animal kingdom on this basis, and have made some most surprising additions to our knowledge of evolution.|In fact, they have been able to reclassify the whole animal kingdom on this basis, and have made some most surprising additions to our knowledge of evolution.
silent_bullet_02_f000022|Now I don’t propose to bore you with the details of the tests, but one of the things they showed was that the blood of a certain branch of the human race gives a reaction much like the blood of a certain group of monkeys,|Now I dont propose to bore you with the details of the tests, but one of the things they showed was that the blood of a certain branch of the human race gives a reaction much like the blood of a certain group of monkeys,
silent_bullet_02_f000023|the chimpanzees, while the blood of another branch gives a reaction like that of the gorilla. Of course there’s lots more to it, but this is all that need concern us now.|the chimpanzees, while the blood of another branch gives a reaction like that of the gorilla. Of course theres lots more to it, but this is all that need concern us now.
silent_bullet_02_f000024|I tried the tests. The blood on the handkerchief conformed strictly to the latter test. Now the gorilla was, of course, out of the question - this was no Rue Morgue murder.|I tried the tests. The blood on the handkerchief conformed strictly to the latter test. Now the gorilla was, of course, out of the question - this was no Rue Morgue murder.
silent_bullet_02_f000025|Therefore it was the negro waiter.|Therefore it was the negro waiter.
silent_bullet_02_f000026|But, I interrupted, the negro offered a perfect alibi at the start, and - No buts, Walter. Here’s a telegram I received at dinner: Congratulations.|But, I interrupted, the negro offered a perfect alibi at the start, and - No buts, Walter. Heres a telegram I received at dinner: Congratulations.
silent_bullet_02_f000027|Confronted Jackson your evidence as wired.|Confronted Jackson your evidence as wired.
silent_bullet_02_f000028|Confessed. Well, Craig, I take off my hat to you, I exclaimed. Next you’ll be solving this Kerr Parker case for sure.|Confessed. Well, Craig, I take off my hat to you, I exclaimed. Next youll be solving this Kerr Parker case for sure.
silent_bullet_02_f000029|I would take a hand in it if they’d let me, said he simply.|I would take a hand in it if theyd let me, said he simply.
silent_bullet_02_f000030|That night, without saying anything, I sauntered down to the imposing new police building amid the squalor of Center Street.|That night, without saying anything, I sauntered down to the imposing new police building amid the squalor of Center Street.
silent_bullet_02_f000031|They were very busy at headquarters, but, having once had that assignment for the Star, I had no trouble in getting in.|They were very busy at headquarters, but, having once had that assignment for the Star, I had no trouble in getting in.
silent_bullet_02_f000032|Inspector Barney O’Connor of the Central Office carefully shifted a cigar from corner to corner of his mouth as I poured forth my suggestion to him.|Inspector Barney OConnor of the Central Office carefully shifted a cigar from corner to corner of his mouth as I poured forth my suggestion to him.
silent_bullet_02_f000033|Well, Jameson, he said at length, do you think this professor fellow is the goods?|Well, Jameson, he said at length, do you think this professor fellow is the goods?
silent_bullet_02_f000034|I didn’t mince matters in my opinion of Kennedy. I told him of the Price case and showed him a copy of the telegram. That settled it.|I didnt mince matters in my opinion of Kennedy. I told him of the Price case and showed him a copy of the telegram. That settled it.
silent_bullet_02_f000035|Can you bring him down here to-night? he asked quickly.|Can you bring him down here to-night? he asked quickly.
silent_bullet_02_f000036|I reached for the telephone, found Craig in his laboratory finally, and in less than an hour he was in the office.|I reached for the telephone, found Craig in his laboratory finally, and in less than an hour he was in the office.
silent_bullet_02_f000037|This is a most bating case, Professor Kennedy, this case of Kerr Parker, said the inspector, launching at once into his subject.|This is a most bating case, Professor Kennedy, this case of Kerr Parker, said the inspector, launching at once into his subject.
silent_bullet_02_f000038|Here is a broker heavily interested in Mexican rubber. It looks like a good thing - plantations right in the same territory as those of the Rubber Trust.|Here is a broker heavily interested in Mexican rubber. It looks like a good thing - plantations right in the same territory as those of the Rubber Trust.
silent_bullet_02_f000039|Now in addition to that he is branching out into coastwise steamship lines; another man associated with him is heavily engaged in a railway scheme from the United States down into Mexico.|Now in addition to that he is branching out into coastwise steamship lines; another man associated with him is heavily engaged in a railway scheme from the United States down into Mexico.
silent_bullet_02_f000040|Altogether the steamships and railroads are tapping rubber, oil, copper, and I don’t know what other regions. Here in New York they have been pyramiding stocks,|Altogether the steamships and railroads are tapping rubber, oil, copper, and I dont know what other regions. Here in New York they have been pyramiding stocks,
silent_bullet_02_f000041|borrowing money from two trust companies which they control.|borrowing money from two trust companies which they control.
silent_bullet_02_f000042|It’s a lovely scheme - you’ve read about it, I suppose. Also you’ve read that it comes into competition with a certain group of capitalists whom we will call the System.|Its a lovely scheme - youve read about it, I suppose. Also youve read that it comes into competition with a certain group of capitalists whom we will call the System.
silent_bullet_02_f000043|Well, this depression in the market comes along. At once rumours are spread about the weakness of the trust companies; runs start on both of them.|Well, this depression in the market comes along. At once rumours are spread about the weakness of the trust companies; runs start on both of them.
silent_bullet_02_f000044|The System, - you know them - make a great show of supporting the market. Yet the runs continue. God knows whether they will spread or the trust companies stand up under it to-morrow after what happened to-day.|The System, - you know them - make a great show of supporting the market. Yet the runs continue. God knows whether they will spread or the trust companies stand up under it to-morrow after what happened to-day.
silent_bullet_02_f000045|It was a good thing the market was closed when it happened.|It was a good thing the market was closed when it happened.
silent_bullet_02_f000046|Kerr Parker was surrounded by a group of people who were in his schemes with him. They are holding a council of war in the directors room.|Kerr Parker was surrounded by a group of people who were in his schemes with him. They are holding a council of war in the directors room.
silent_bullet_02_f000047|Suddenly Parker rises, staggers toward the window, falls, and is dead before a doctor can get to him. Every effort is made to keep the thing quiet.|Suddenly Parker rises, staggers toward the window, falls, and is dead before a doctor can get to him. Every effort is made to keep the thing quiet.
silent_bullet_02_f000048|It is given out that he committed suicide. The papers don’t seem to accept the suicide theory, however. Neither do we. The coroner, who is working with us,|It is given out that he committed suicide. The papers dont seem to accept the suicide theory, however. Neither do we. The coroner, who is working with us,
silent_bullet_02_f000049|has kept his mouth shut so far, and will say nothing till the inquest.|has kept his mouth shut so far, and will say nothing till the inquest.
silent_bullet_02_f000050|For, Professor Kennedy, my first man on the spot found that - Kerr Parker - was - murdered.|For, Professor Kennedy, my first man on the spot found that - Kerr Parker - was - murdered.
silent_bullet_02_f000051|Now here comes the amazing part of the story. The doors to the offices on both sides were open at the time. There were lots of people in each office.|Now here comes the amazing part of the story. The doors to the offices on both sides were open at the time. There were lots of people in each office.
silent_bullet_02_f000052|There was the usual click of typewriters, and the buzz of the ticker, and the hum of conversation. We have any number of witnesses of the whole affair,|There was the usual click of typewriters, and the buzz of the ticker, and the hum of conversation. We have any number of witnesses of the whole affair,
silent_bullet_02_f000053|but as far as any of them knows no shot was fired, no smoke was seen, no noise was heard, nor was any weapon found.|but as far as any of them knows no shot was fired, no smoke was seen, no noise was heard, nor was any weapon found.
silent_bullet_02_f000054|Yet here on my desk is a thirty-two-calibre bullet. The coroner’s physician probed it out of Parker’s neck this afternoon and turned it over to us.|Yet here on my desk is a thirty-two-calibre bullet. The coroners physician probed it out of Parkers neck this afternoon and turned it over to us.
silent_bullet_02_f000055|Kennedy reached for the bullet, and turned it thoughtfully in his fingers for a moment. One side of it had apparently struck a bone in the neck of the murdered man, and was flattened.|Kennedy reached for the bullet, and turned it thoughtfully in his fingers for a moment. One side of it had apparently struck a bone in the neck of the murdered man, and was flattened.
silent_bullet_02_f000056|The other side was still perfectly smooth. With his inevitable magnifying-glass he scrutinised the bullet on every side. I watched his face anxiously,|The other side was still perfectly smooth. With his inevitable magnifying-glass he scrutinised the bullet on every side. I watched his face anxiously,
silent_bullet_02_f000057|and I could see that he was very intent and very excited.|and I could see that he was very intent and very excited.
silent_bullet_02_f000058|Extraordinary, most extraordinary, he said to himself as he turned it over and over. Where did you say this bullet struck?|Extraordinary, most extraordinary, he said to himself as he turned it over and over. Where did you say this bullet struck?
silent_bullet_02_f000059|In the fleshy part of the neck, quite a little back of and below his ear and just above his collar. There wasn’t much bleeding. I think it must have struck the base of his brain.|In the fleshy part of the neck, quite a little back of and below his ear and just above his collar. There wasnt much bleeding. I think it must have struck the base of his brain.
silent_bullet_02_f000060|It didn’t strike his collar or hair?|It didnt strike his collar or hair?
silent_bullet_02_f000061|No, replied the inspector.|No, replied the inspector.
silent_bullet_02_f000062|Inspector, I think we shall be able to put our hands on the murderer - I think we can get a conviction, sir, on the evidence that I shall get from this bullet in my laboratory.|Inspector, I think we shall be able to put our hands on the murderer - I think we can get a conviction, sir, on the evidence that I shall get from this bullet in my laboratory.
silent_bullet_02_f000063|That’s pretty much like a story-book, drawled the inspector incredulously, shaking his head.|Thats pretty much like a story-book, drawled the inspector incredulously, shaking his head.
silent_bullet_02_f000064|Perhaps, smiled Kennedy. But there will still be plenty of work for the police to do, too. I’ve only got a clue to the murderer.|Perhaps, smiled Kennedy. But there will still be plenty of work for the police to do, too. Ive only got a clue to the murderer.
silent_bullet_02_f000065|It will take the whole organisation to follow it up, believe me. Now, Inspector, can you spare the time to go down to Parker’s office and take me over the ground?|It will take the whole organisation to follow it up, believe me. Now, Inspector, can you spare the time to go down to Parkers office and take me over the ground?
silent_bullet_02_f000066|No doubt we can develop something else there.|No doubt we can develop something else there.
silent_bullet_02_f000067|Sure, answered O’Connor, and within five minutes we were hurrying down town in one of the department automobiles.|Sure, answered OConnor, and within five minutes we were hurrying down town in one of the department automobiles.
silent_bullet_02_f000068|We found the office under guard of one of the Central Office men, while in the outside office Parker’s confidential clerk and a few assistants were still at work in a subdued and awed manner.|We found the office under guard of one of the Central Office men, while in the outside office Parkers confidential clerk and a few assistants were still at work in a subdued and awed manner.
silent_bullet_02_f000069|Men were working in many other Wall Street offices that night during the panic, but in none was there more reason for it than here.|Men were working in many other Wall Street offices that night during the panic, but in none was there more reason for it than here.
silent_bullet_02_f000070|Later I learned that it was the quiet tenacity of this confidential clerk that saved even as much of Parker’s estate as was saved for his widow - little enough it was, too.|Later I learned that it was the quiet tenacity of this confidential clerk that saved even as much of Parkers estate as was saved for his widow - little enough it was, too.
silent_bullet_02_f000071|What he saved for the clients of the firm no one will ever know.|What he saved for the clients of the firm no one will ever know.
silent_bullet_02_f000072|Somehow or other I liked John Downey, the clerk, from the moment I was introduced to him. He seemed to me, at least, to be the typical confidential clerk who would carry a secret worth millions and keep it.|Somehow or other I liked John Downey, the clerk, from the moment I was introduced to him. He seemed to me, at least, to be the typical confidential clerk who would carry a secret worth millions and keep it.
silent_bullet_02_f000073|The officer in charge touched his hat to the inspector, and Downey hastened to put himself at our service. It was plain that the murder had completely mystified him,|The officer in charge touched his hat to the inspector, and Downey hastened to put himself at our service. It was plain that the murder had completely mystified him,
silent_bullet_02_f000074|and that he was as anxious as we were to get at the bottom of it.|and that he was as anxious as we were to get at the bottom of it.
silent_bullet_02_f000075|mister Downey, began Kennedy, I understand you were present when this sad event took place.|mister Downey, began Kennedy, I understand you were present when this sad event took place.
silent_bullet_02_f000076|Yes, sir, sitting right here at the directors table, he replied, taking a chair, like this.|Yes, sir, sitting right here at the directors table, he replied, taking a chair, like this.
silent_bullet_02_f000077|Now can you recollect just how mister Parker acted when he was shot? Could you-er - could you take his place and show us just how it happened?|Now can you recollect just how mister Parker acted when he was shot? Could you-er - could you take his place and show us just how it happened?
silent_bullet_02_f000078|Yes, sir, said Downey. He was sitting here at the head of the table.|Yes, sir, said Downey. He was sitting here at the head of the table.
silent_bullet_02_f000079|mister Bruce, who is the CO. of the firm, had been sitting here at his right; I was at the left. The inspector has a list of all the others present.|mister Bruce, who is the CO. of the firm, had been sitting here at his right; I was at the left. The inspector has a list of all the others present.
silent_bullet_02_f000080|That door to the right was open, and misis Parker and some other ladies were in the room - misis Parker? broke in Kennedy.|That door to the right was open, and misis Parker and some other ladies were in the room - misis Parker? broke in Kennedy.
silent_bullet_02_f000081|Yes: Like a good many brokerage firms we have a ladies room. Many ladies are among our clients. We make a point of catering to them.|Yes: Like a good many brokerage firms we have a ladies room. Many ladies are among our clients. We make a point of catering to them.
silent_bullet_02_f000082|At that time I recollect the door was open - all the doors were open. It was not a secret meeting. mister Bruce had just gone into the ladies department;|At that time I recollect the door was open - all the doors were open. It was not a secret meeting. mister Bruce had just gone into the ladies department;
silent_bullet_02_f000083|I think to ask some of them to stand by the firm - he was an artist at smoothing over the fears of customers, particularly women.|I think to ask some of them to stand by the firm - he was an artist at smoothing over the fears of customers, particularly women.
silent_bullet_02_f000084|Just before he went in I had seen the ladies go in a group toward the far end of the room - to look down at the line of depositors on the street,|Just before he went in I had seen the ladies go in a group toward the far end of the room - to look down at the line of depositors on the street,
silent_bullet_02_f000085|which reached around the corner from one of the trust companies, I thought.|which reached around the corner from one of the trust companies, I thought.
silent_bullet_02_f000086|I was making a note of an order to send into the outside office there on the left, and had just pushed this button here under the table to call a boy to carry it.|I was making a note of an order to send into the outside office there on the left, and had just pushed this button here under the table to call a boy to carry it.
silent_bullet_02_f000087|mister Parker had just received a letter by special delivery, and seemed considerably puzzled over it. No, I don’t know what it was about.|mister Parker had just received a letter by special delivery, and seemed considerably puzzled over it. No, I dont know what it was about.
silent_bullet_02_f000088|Of a sudden I saw him start in his chair, rise up unsteadily, clap his hand on the back of his head, stagger across the floor - like this - and fall here.|Of a sudden I saw him start in his chair, rise up unsteadily, clap his hand on the back of his head, stagger across the floor - like this - and fall here.
silent_bullet_02_f000089|Then what happened?|Then what happened?
silent_bullet_02_f000090|Why, I rushed to pick him up. Everything was confusion. I recall someone behind me saying, Here, boy, take all these papers off the table and carry them into my office before they get lost in the excitement.|Why, I rushed to pick him up. Everything was confusion. I recall someone behind me saying, Here, boy, take all these papers off the table and carry them into my office before they get lost in the excitement.
silent_bullet_02_f000091|I think it was Bruce’s voice. The next moment I heard someone say, Stand back, misis Parker has fainted. But I didn’t pay much attention, for I was calling to someone not to get a doctor over the telephone,|I think it was Bruces voice. The next moment I heard someone say, Stand back, misis Parker has fainted. But I didnt pay much attention, for I was calling to someone not to get a doctor over the telephone,
silent_bullet_02_f000092|but to go down to the fifth floor where one has an office.|but to go down to the fifth floor where one has an office.
silent_bullet_02_f000093|I made mister Parker as comfortable as I could. There wasn’t much I could do. He seemed to want to say something to me, but he couldn’t talk.|I made mister Parker as comfortable as I could. There wasnt much I could do. He seemed to want to say something to me, but he couldnt talk.
silent_bullet_02_f000094|He was paralysed, at least his throat was. But I did manage to make out finally what sounded to me like, Tell her I don’t believe the scandal, I don’t believe it.|He was paralysed, at least his throat was. But I did manage to make out finally what sounded to me like, Tell her I dont believe the scandal, I dont believe it.
silent_bullet_02_f000095|But before he could say whom to tell he had again become unconscious, and by the time the doctor arrived he was dead. I guess you know everything else as well as I do.|But before he could say whom to tell he had again become unconscious, and by the time the doctor arrived he was dead. I guess you know everything else as well as I do.
silent_bullet_02_f000096|You didn’t hear the shot fired from any particular direction? asked Kennedy.|You didnt hear the shot fired from any particular direction? asked Kennedy.
silent_bullet_02_f000097|No, sir.|No, sir.
silent_bullet_02_f000098|Well, where do you think it came from?|Well, where do you think it came from?
silent_bullet_02_f000099|That’s what puzzles me, sir. The only thing I can figure out is that it was fired from the outside office - perhaps by some customer who had lost money and sought revenge.|Thats what puzzles me, sir. The only thing I can figure out is that it was fired from the outside office - perhaps by some customer who had lost money and sought revenge.
silent_bullet_02_f000100|But no one out there heard it either, any more than they did in the directors room or the ladies department.|But no one out there heard it either, any more than they did in the directors room or the ladies department.
silent_bullet_02_f000101|About that message, asked Kennedy, ignoring what to me seemed to be the most important feature of the case, the mystery of the silent bullet.|About that message, asked Kennedy, ignoring what to me seemed to be the most important feature of the case, the mystery of the silent bullet.
silent_bullet_02_f000102|Didn’t you see it after all was over?|Didnt you see it after all was over?
silent_bullet_02_f000103|No, sir; in fact I had forgotten about it till this moment when you asked me to reconstruct the circumstances exactly. No, sir, I don’t know a thing about it.|No, sir; in fact I had forgotten about it till this moment when you asked me to reconstruct the circumstances exactly. No, sir, I dont know a thing about it.
silent_bullet_02_f000104|I can’t say it impressed itself on my mind at the time, either.|I cant say it impressed itself on my mind at the time, either.
silent_bullet_02_f000105|What did misis Parker do when she came to?|What did misis Parker do when she came to?
silent_bullet_02_f000106|Oh, she cried as I have never seen a woman cry before. He was dead by that time, of course.|Oh, she cried as I have never seen a woman cry before. He was dead by that time, of course.
silent_bullet_02_f000107|Bruce and I saw her down in the elevator to her car. In fact, the doctor, who had arrived; said that the sooner she was taken home the better she would be. She was quite hysterical.|Bruce and I saw her down in the elevator to her car. In fact, the doctor, who had arrived; said that the sooner she was taken home the better she would be. She was quite hysterical.
silent_bullet_02_f000108|Did she say anything that you remember?|Did she say anything that you remember?
silent_bullet_02_f000109|Downey hesitated.|Downey hesitated.
silent_bullet_02_f000110|Out with it Downey, said the inspector. What did she say as she was going down in the elevator?|Out with it Downey, said the inspector. What did she say as she was going down in the elevator?
silent_bullet_02_f000111|Nothing.|Nothing.
silent_bullet_02_f000112|Tell us. I’ll arrest you if you don’t.|Tell us. Ill arrest you if you dont.
silent_bullet_02_f000113|Nothing about the murder, on my honour, protested Downey.|Nothing about the murder, on my honour, protested Downey.
silent_bullet_02_f000114|Kennedy leaned over suddenly and shot a remark at him, Then it was about the note.|Kennedy leaned over suddenly and shot a remark at him, Then it was about the note.
silent_bullet_02_f000115|Downey was surprised, but not quickly enough. Still he seemed to be considering something, and in a moment he said: I don’t know what it was about,|Downey was surprised, but not quickly enough. Still he seemed to be considering something, and in a moment he said: I dont know what it was about,
silent_bullet_02_f000116|but I feel it is my duty, after all, to tell you.|but I feel it is my duty, after all, to tell you.
silent_bullet_02_f000117|I heard her say, I wonder if he knew. Nothing else?|I heard her say, I wonder if he knew. Nothing else?
silent_bullet_02_f000118|Nothing else.|Nothing else.
silent_bullet_02_f000119|What happened after you came back?|What happened after you came back?
silent_bullet_02_f000120|We entered the ladies department. No one was there. A woman’s automobile-coat was thrown over a chair in a heap. mister Bruce picked it up.|We entered the ladies department. No one was there. A womans automobile-coat was thrown over a chair in a heap. mister Bruce picked it up.
silent_bullet_02_f000121|It’s misis Parker’s, he said. He wrapped it up hastily, and rang for a messenger.|Its misis Parkers, he said. He wrapped it up hastily, and rang for a messenger.
silent_bullet_02_f000122|Where did he send it?|Where did he send it?
silent_bullet_02_f000123|To misis Parker, I suppose. I didn’t hear the address.|To misis Parker, I suppose. I didnt hear the address.
silent_bullet_02_f000124|We next went over the whole suite of offices, conducted by mister Downey. I noted how carefully Kennedy looked into the directors room through the open door from the ladies department.|We next went over the whole suite of offices, conducted by mister Downey. I noted how carefully Kennedy looked into the directors room through the open door from the ladies department.
silent_bullet_02_f000125|He stood at such an angle that had he been the assassin he could scarcely have been seen except by those sitting immediately next mister Parker at the directors table.|He stood at such an angle that had he been the assassin he could scarcely have been seen except by those sitting immediately next mister Parker at the directors table.
silent_bullet_02_f000126|The street windows were directly in front of him, and back of him was the chair on which the motorcoat had been found.|The street windows were directly in front of him, and back of him was the chair on which the motorcoat had been found.
silent_bullet_02_f000127|In Parker’s own office we spent some time, as well as in Bruce’s.|In Parkers own office we spent some time, as well as in Bruces.
silent_bullet_02_f000128|Kennedy made a search for the note, but finding nothing in either office, turned out the contents of Bruce’s scrap-basket.|Kennedy made a search for the note, but finding nothing in either office, turned out the contents of Bruces scrap-basket.
silent_bullet_02_f000129|There didn’t seem to be anything in it to interest him, however, even after he had pieced several torn bits of scraps together with much difficulty,|There didnt seem to be anything in it to interest him, however, even after he had pieced several torn bits of scraps together with much difficulty,
silent_bullet_02_f000130|and he was about to turn the papers back again, when he noticed something sticking to the side of the basket.|and he was about to turn the papers back again, when he noticed something sticking to the side of the basket.
silent_bullet_02_f000131|It looked like a mass of wet paper, and that was precisely what it was.|It looked like a mass of wet paper, and that was precisely what it was.
